thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,1.5,9,3,stretched,33.757551100003184,2,CW,56,1,
,,haptic-only,0.04,1.25,7,6,squashed,4.696233399998164,1,CW,56,1,
,,haptic-only,0.04,1.25,1,3,stretched,0.5601471000118181,1,CW,56,1,
,,haptic-only,0.04,0.75,4,6,squashed,0.3603292000043439,0,CW,56,1,
,,haptic-only,0.04,1,9,3,stretched,0.4750921999948332,0,CW,56,1,
,,haptic-only,0.04,1,7,6,squashed,4.393624600008479,1,CW,56,1,
,,haptic-only,0.04,1.5,0,6,squashed,7.343672700008028,1,CW,56,1,
,,haptic-only,0.04,1.5,5,3,stretched,1.5909295000019483,1,CW,56,1,
,,haptic-only,0.04,0.75,2,6,squashed,8.477908499990008,0,CW,56,1,
,,haptic-only,0.04,1.25,8,3,stretched,2.8525029000011273,0,CW,56,1,
,,haptic-only,0.04,1.25,5,6,squashed,2.491596900013974,0,CW,56,1,
,,haptic-only,0.04,0.5,8,6,squashed,0.24120970000512898,0,CW,56,1,
,,haptic-only,0.04,0.75,6,6,squashed,0.5059871999983443,0,CW,56,1,
,,haptic-only,0.04,0.5,6,6,squashed,0.11642619999474846,0,CW,56,1,
,,haptic-only,0.04,1,2,3,stretched,2.4539259000011953,0,CW,56,1,
,,haptic-only,0.04,1.5,4,3,stretched,0.6295994000101928,1,CW,56,1,
,,haptic-only,0.04,1.25,2,3,stretched,0.3593330000003334,0,CW,56,1,
,,haptic-only,0.04,0.5,1,6,squashed,1.160809099994367,1,CW,56,1,
,,haptic-only,0.04,0.5,9,6,squashed,5.788343099993654,1,CW,56,1,
,,haptic-only,0.04,1,8,3,stretched,0.04153210000367835,1,CW,56,1,
,,haptic-only,0.04,1,6,3,stretched,0.8570736999972723,0,CW,56,1,
,,haptic-only,0.04,0.5,2,6,squashed,4.170236600009957,1,CW,56,1,
,,haptic-only,0.04,1.5,1,3,stretched,1.8817073999962304,0,CW,56,1,
,,haptic-only,0.04,1.25,6,3,stretched,2.4496038000070257,1,CW,56,1,
,,haptic-only,0.04,1.25,9,3,stretched,0.7395147999923211,0,CW,56,1,
,,haptic-only,0.04,1.25,4,3,stretched,0.573869800005923,0,CW,56,1,
,,haptic-only,0.04,0.75,0,6,squashed,0.77988610000466,1,CW,56,1,
,,haptic-only,0.04,1,0,3,stretched,2.0404466000036336,0,CW,56,1,
,,haptic-only,0.04,1,3,3,stretched,0.4155103000084637,0,CW,56,1,
,,haptic-only,0.04,0.75,1,6,squashed,1.1278850000089733,0,CW,56,1,
,,haptic-only,0.04,0.5,4,6,squashed,1.8108130999899004,0,CW,56,1,
,,haptic-only,0.04,0.75,7,6,squashed,0.7194636999920476,0,CW,56,1,
,,haptic-only,0.04,0.5,5,6,squashed,2.6101103000110015,0,CW,56,1,
,,haptic-only,0.04,1.5,6,3,stretched,0.7077139000030002,0,CW,56,1,
,,haptic-only,0.04,0.5,3,6,squashed,0.7266627999924822,1,CW,56,1,
,,haptic-only,0.04,1.5,2,3,stretched,1.9584739999991143,0,CW,56,1,
,,haptic-only,0.04,0.5,7,6,squashed,1.2346821000101045,0,CW,56,1,
,,haptic-only,0.04,1,1,3,stretched,0.36635839998780284,0,CW,56,1,
,,haptic-only,0.04,0.5,0,6,squashed,0.09619739999470767,0,CW,56,1,
,,haptic-only,0.04,1,4,3,stretched,2.7313953999982914,1,CW,56,1,
,,haptic-only,0.04,1.25,0,3,stretched,0.2582037000101991,0,CW,56,1,
,,haptic-only,0.04,0.75,8,3,stretched,2.0708302999992156,0,CW,56,1,
,,haptic-only,0.04,1.25,3,3,stretched,0.8326356999896234,1,CW,56,1,
,,haptic-only,0.04,1.5,3,3,stretched,2.038986300001852,0,CW,56,1,
,,haptic-only,0.04,1.5,7,3,stretched,2.6764892999926815,1,CW,56,1,
,,haptic-only,0.04,0.75,5,6,squashed,1.3042931999952998,1,CW,56,1,
,,haptic-only,0.04,1.5,8,3,stretched,0.29442540000309236,1,CW,56,1,
,,haptic-only,0.04,0.75,9,6,squashed,2.238295500006643,1,CW,56,1,
,,haptic-only,0.04,1,5,3,stretched,0.041897599992807955,1,CW,56,1,
,,haptic-only,0.04,0.75,3,3,stretched,3.5740411000006134,0,CW,56,1,
