thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,Correct
,,haptic-only,0.04,1.5,9,3,stretched,33.7575511,2,CW,56,1,1
,,haptic-only,0.04,1.25,7,6,squashed,4.6962334,1,CW,56,1,0
,,haptic-only,0.04,1.25,1,3,stretched,0.5601471,1,CW,56,1,1
,,haptic-only,0.04,0.75,4,6,squashed,0.3603292,0,CW,56,1,0
,,haptic-only,0.04,1,9,3,stretched,0.4750922,0,CW,56,1,
,,haptic-only,0.04,1,7,6,squashed,4.3936246,1,CW,56,1,
,,haptic-only,0.04,1.5,0,6,squashed,7.3436727,1,CW,56,1,0
,,haptic-only,0.04,1.5,5,3,stretched,1.5909295,1,CW,56,1,1
,,haptic-only,0.04,0.75,2,6,squashed,8.4779085,0,CW,56,1,0
,,haptic-only,0.04,1.25,8,3,stretched,2.8525029,0,CW,56,1,1
,,haptic-only,0.04,1.25,5,6,squashed,2.4915969,0,CW,56,1,0
,,haptic-only,0.04,0.5,8,6,squashed,0.2412097,0,CW,56,1,1
,,haptic-only,0.04,0.75,6,6,squashed,0.5059872,0,CW,56,1,1
,,haptic-only,0.04,0.5,6,6,squashed,0.1164262,0,CW,56,1,1
,,haptic-only,0.04,1,2,3,stretched,2.4539259,0,CW,56,1,
,,haptic-only,0.04,1.5,4,3,stretched,0.6295994,1,CW,56,1,1
,,haptic-only,0.04,1.25,2,3,stretched,0.359333,0,CW,56,1,1
,,haptic-only,0.04,0.5,1,6,squashed,1.1608091,1,CW,56,1,0
,,haptic-only,0.04,0.5,9,6,squashed,5.7883431,1,CW,56,1,0
,,haptic-only,0.04,1,8,3,stretched,0.0415321,1,CW,56,1,1
,,haptic-only,0.04,1,6,3,stretched,0.8570737,0,CW,56,1,1
,,haptic-only,0.04,0.5,2,6,squashed,4.1702366,1,CW,56,1,1
,,haptic-only,0.04,1.5,1,3,stretched,1.8817074,0,CW,56,1,0
,,haptic-only,0.04,1.25,6,3,stretched,2.4496038,1,CW,56,1,1
,,haptic-only,0.04,1.25,9,3,stretched,0.7395148,0,CW,56,1,1
,,haptic-only,0.04,1.25,4,3,stretched,0.5738698,0,CW,56,1,0
,,haptic-only,0.04,0.75,0,6,squashed,0.7798861,1,CW,56,1,1
,,haptic-only,0.04,1,0,3,stretched,2.0404466,0,CW,56,1,1
,,haptic-only,0.04,1,3,3,stretched,0.4155103,0,CW,56,1,1
,,haptic-only,0.04,0.75,1,6,squashed,1.127885,0,CW,56,1,1
,,haptic-only,0.04,0.5,4,6,squashed,1.8108131,0,CW,56,1,1
,,haptic-only,0.04,0.75,7,6,squashed,0.7194637,0,CW,56,1,1
,,haptic-only,0.04,0.5,5,6,squashed,2.6101103,0,CW,56,1,1
,,haptic-only,0.04,1.5,6,3,stretched,0.7077139,0,CW,56,1,1
,,haptic-only,0.04,0.5,3,6,squashed,0.7266628,1,CW,56,1,1
,,haptic-only,0.04,1.5,2,3,stretched,1.958474,0,CW,56,1,1
,,haptic-only,0.04,0.5,7,6,squashed,1.2346821,0,CW,56,1,1
,,haptic-only,0.04,1,1,3,stretched,0.3663584,0,CW,56,1,
,,haptic-only,0.04,0.5,0,6,squashed,0.0961974,0,CW,56,1,1
,,haptic-only,0.04,1,4,3,stretched,2.7313954,1,CW,56,1,1
,,haptic-only,0.04,1.25,0,3,stretched,0.2582037,0,CW,56,1,1
,,haptic-only,0.04,0.75,8,3,stretched,2.0708303,0,CW,56,1,1
,,haptic-only,0.04,1.25,3,3,stretched,0.8326357,1,CW,56,1,1
,,haptic-only,0.04,1.5,3,3,stretched,2.0389863,0,CW,56,1,1
,,haptic-only,0.04,1.5,7,3,stretched,2.6764893,1,CW,56,1,1
,,haptic-only,0.04,0.75,5,6,squashed,1.3042932,1,CW,56,1,0
,,haptic-only,0.04,1.5,8,3,stretched,0.2944254,1,CW,56,1,1
,,haptic-only,0.04,0.75,9,6,squashed,2.2382955,1,CW,56,1,1
,,haptic-only,0.04,1,5,3,stretched,0.0418976,1,CW,56,1,
,,haptic-only,0.04,0.75,3,3,stretched,3.5740411,0,CW,56,1,0
,,,,,,,,,,,,,0.755555556
