thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,1.5,2,3,stretched,9.246402099961415,1,DY,56,1,
,,haptic-only,0.04,0.75,0,6,squashed,2.1327887000516057,0,DY,56,1,
,,haptic-only,0.04,1,0,3,stretched,3.316420100047253,1,DY,56,1,
,,haptic-only,0.04,1.5,1,3,stretched,5.042213200009428,0,DY,56,1,
,,haptic-only,0.04,0.75,3,6,squashed,2.968467199942097,1,DY,56,1,
,,haptic-only,0.04,1.25,2,3,stretched,1.6374864999670535,0,DY,56,1,
,,haptic-only,0.04,0.5,3,6,squashed,2.1609889999963343,0,DY,56,1,
,,haptic-only,0.04,1,3,6,squashed,2.3229204000672325,1,DY,56,1,
,,haptic-only,0.04,0.5,1,6,squashed,1.8438113000011072,0,DY,56,1,
,,haptic-only,0.04,1,1,3,stretched,2.4235020000487566,0,DY,56,1,
,,haptic-only,0.04,0.5,2,6,squashed,1.5687030999688432,0,DY,56,1,
,,haptic-only,0.04,1.25,0,3,stretched,2.04785550001543,0,DY,56,1,
,,haptic-only,0.04,1.25,1,3,stretched,2.1636521000182256,1,DY,56,1,
,,haptic-only,0.04,1,2,3,stretched,2.553810599958524,1,DY,56,1,
,,haptic-only,0.04,0.75,1,6,squashed,1.7406485000392422,1,DY,56,1,
,,haptic-only,0.04,0.75,2,3,stretched,2.11212299996987,0,DY,56,1,
,,haptic-only,0.04,1.25,3,3,stretched,1.993261400028132,0,DY,56,1,
,,haptic-only,0.04,1.5,3,3,stretched,1.8164686999516562,1,DY,56,1,
,,haptic-only,0.04,1.5,0,3,stretched,2.1143479000311345,0,DY,56,1,
,,haptic-only,0.04,0.5,0,6,squashed,1.7172609999543056,0,DY,56,1,
