thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,3,0,0.04,1.25,3,3,stretched,6.032679499941878,292,DY,56,1,
,,visual-haptic,1,2,0.04,0.5,3,6,squashed,3.9761912000831217,231,DY,56,1,
,,visual-haptic,1,1,0.04,0.5,2,6,squashed,3.0167663000756875,274,DY,56,1,
,,visual-haptic,3,2,0.04,1.5,0,3,stretched,2.7142380999866873,245,DY,56,1,
,,visual-haptic,1,2,0.04,1.25,2,3,stretched,1.9632792000193149,228,DY,56,1,
,,visual-haptic,0,1,0.04,1,3,3,stretched,2.4539549000328407,298,DY,56,1,
,,visual-haptic,3,1,0.04,1,3,3,stretched,3.1678277999162674,270,DY,56,1,
,,visual-haptic,0,0,0.04,0.5,2,6,squashed,2.0853839999763295,240,DY,56,1,
,,visual-haptic,3,1,0.04,1.25,3,3,stretched,2.7743125999113545,276,DY,56,1,
,,visual-haptic,3,0,0.04,1.5,3,3,stretched,2.4075870999367908,246,DY,56,1,
,,visual-haptic,3,2,0.04,0.75,3,3,stretched,2.600012000068091,247,DY,56,1,
,,visual-haptic,0,1,0.04,1.5,3,3,stretched,4.150554000050761,295,DY,56,1,
,,visual-haptic,0,0,0.04,1.5,2,3,stretched,1.569870000006631,240,DY,56,1,
,,visual-haptic,0,2,0.04,0.5,3,6,squashed,1.7718100000638515,207,DY,56,1,
,,visual-haptic,3,0,0.04,0.5,3,6,squashed,1.398594200029038,267,DY,56,1,
,,visual-haptic,0,1,0.04,0.5,1,6,squashed,2.222630500094965,273,DY,56,1,
,,visual-haptic,3,1,0.04,1.25,0,3,stretched,2.0225418000482023,276,DY,56,1,
,,visual-haptic,3,2,0.04,1.25,0,3,stretched,1.9710755000123754,228,DY,56,1,
,,visual-haptic,0,1,0.04,1.5,0,3,stretched,2.1017167000100017,281,DY,56,1,
,,visual-haptic,0,2,0.04,0.75,2,6,squashed,1.895182600012049,249,DY,56,1,
,,visual-haptic,3,2,0.04,1,2,3,stretched,1.83645330008585,203,DY,56,1,
,,visual-haptic,0,2,0.04,1.25,1,3,stretched,1.8968948000110686,247,DY,56,1,
,,visual-haptic,1,0,0.04,0.5,0,6,squashed,3.1025415998883545,244,DY,56,1,
,,visual-haptic,1,1,0.04,0.5,0,6,squashed,1.6287657999200746,284,DY,56,1,
,,visual-haptic,1,0,0.04,0.75,1,6,squashed,1.8183027000632137,266,DY,56,1,
,,visual-haptic,0,2,0.04,1.25,2,3,stretched,2.0147721000248566,283,DY,56,1,
