thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-only,0.04,1.25,5,6,squashed,4.384897199925035,225,DY,56,1,
,,visual-only,0.04,0.5,2,6,squashed,1.3830159000353888,228,DY,56,1,
,,visual-only,0.04,1,2,6,squashed,1.3972631000215188,233,DY,56,1,
,,visual-only,0.04,1.5,5,6,squashed,2.785183700034395,236,DY,56,1,
,,visual-only,0.04,1.25,6,3,stretched,2.8771703999955207,232,DY,56,1,
,,visual-only,0.04,0.5,7,6,squashed,2.225883699953556,250,DY,56,1,
,,visual-only,0.04,0.75,8,3,stretched,3.0849164999090135,233,DY,56,1,
,,visual-only,0.04,1,1,3,stretched,3.012407400063239,212,DY,56,1,
,,visual-only,0.04,0.75,7,3,stretched,2.754369299975224,274,DY,56,1,
,,visual-only,0.04,0.75,0,3,stretched,2.217280099983327,256,DY,56,1,
,,visual-only,0.04,1,6,3,stretched,1.8020009000319988,229,DY,56,1,
,,visual-only,0.04,1,0,6,squashed,2.1027721000136808,233,DY,56,1,
,,visual-only,0.04,1.25,4,6,squashed,1.5768472999334335,251,DY,56,1,
,,visual-only,0.04,0.5,9,6,squashed,1.585999900009483,245,DY,56,1,
,,visual-only,0.04,1,5,6,squashed,0.8594552999129519,256,DY,56,1,
,,visual-only,0.04,0.5,0,3,stretched,1.591333599993959,233,DY,56,1,
,,visual-only,0.04,1.5,2,3,stretched,1.3043660999974236,250,DY,56,1,
,,visual-only,0.04,0.75,1,6,squashed,1.9629982999758795,271,DY,56,1,
,,visual-only,0.04,0.75,4,3,stretched,1.5128637999296188,231,DY,56,1,
,,visual-only,0.04,1,8,3,stretched,2.5249021999770775,253,DY,56,1,
,,visual-only,0.04,1,3,3,stretched,1.0686164000071585,255,DY,56,1,
,,visual-only,0.04,0.75,9,6,squashed,1.8053199000423774,248,DY,56,1,
,,visual-only,0.04,1.25,7,3,stretched,0.77943689993117,230,DY,56,1,
,,visual-only,0.04,1.5,8,3,stretched,0.2948731000069529,267,DY,56,1,
,,visual-only,0.04,1,4,3,stretched,1.1119567999849096,264,DY,56,1,
,,visual-only,0.04,1.5,6,3,stretched,0.601239399984479,229,DY,56,1,
,,visual-only,0.04,1.25,2,3,stretched,1.3656708999769762,231,DY,56,1,
,,visual-only,0.04,1,9,3,stretched,2.0168527000350878,229,DY,56,1,
,,visual-only,0.04,0.75,5,6,squashed,2.465789500041865,270,DY,56,1,
,,visual-only,0.04,1.25,1,3,stretched,1.3269181000068784,242,DY,56,1,
,,visual-only,0.04,1.5,1,3,stretched,1.2082707000663504,251,DY,56,1,
,,visual-only,0.04,0.5,4,3,stretched,1.650337400031276,266,DY,56,1,
,,visual-only,0.04,0.5,6,3,stretched,3.014867400052026,231,DY,56,1,
,,visual-only,0.04,1.5,3,6,squashed,1.3600775999948382,229,DY,56,1,
,,visual-only,0.04,0.5,3,6,squashed,1.1944229999789968,232,DY,56,1,
,,visual-only,0.04,1.25,3,3,stretched,1.1539513999596238,255,DY,56,1,
,,visual-only,0.04,1.5,7,3,stretched,1.4198994999751449,252,DY,56,1,
,,visual-only,0.04,0.75,3,3,stretched,0.9523717000847682,231,DY,56,1,
,,visual-only,0.04,0.75,2,3,stretched,0.9899540999904275,230,DY,56,1,
,,visual-only,0.04,1.25,0,3,stretched,2.150229000020772,227,DY,56,1,
,,visual-only,0.04,1.5,4,3,stretched,1.6048461999744177,231,DY,56,1,
,,visual-only,0.04,1.5,9,3,stretched,2.072857299936004,233,DY,56,1,
,,visual-only,0.04,0.75,6,3,stretched,2.1682161999633536,229,DY,56,1,
,,visual-only,0.04,1.5,0,3,stretched,1.5658562000608072,239,DY,56,1,
,,visual-only,0.04,1.25,8,3,stretched,7.6914716999745,248,DY,56,1,
,,visual-only,0.04,0.5,1,6,squashed,0.8144254999933764,257,DY,56,1,
,,visual-only,0.04,1.25,9,3,stretched,0.8872498000273481,231,DY,56,1,
,,visual-only,0.04,0.5,8,6,squashed,1.208595999982208,247,DY,56,1,
,,visual-only,0.04,1,7,3,stretched,1.1196547999279574,251,DY,56,1,
,,visual-only,0.04,0.5,5,3,stretched,1.2063261999282986,237,DY,56,1,
