thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,0.75,0,6,squashed,8.140001399995526,0,ERV,56,1,
,,haptic-only,0.04,0.75,6,6,squashed,18.919966500005103,1,ERV,56,1,
,,haptic-only,0.04,1.5,2,6,squashed,14.897998400003416,0,ERV,56,1,
,,haptic-only,0.04,1,1,6,squashed,3.317081799992593,0,ERV,56,1,
,,haptic-only,0.04,1.5,9,3,stretched,0.14006389999121893,0,ERV,56,1,
,,haptic-only,0.04,0.5,2,6,squashed,3.8609369000041625,1,ERV,56,1,
,,haptic-only,0.04,1,5,6,squashed,1.7677354000043124,0,ERV,56,1,
,,haptic-only,0.04,1.25,7,6,squashed,11.538280399996438,0,ERV,56,1,
,,haptic-only,0.04,1.25,0,6,squashed,0.9622716000012588,1,ERV,56,1,
,,haptic-only,0.04,1.5,7,3,stretched,8.042201399992337,1,ERV,56,1,
,,haptic-only,0.04,0.5,5,6,squashed,1.704494599995087,1,ERV,56,1,
,,haptic-only,0.04,1.25,4,3,stretched,6.988737699997728,0,ERV,56,1,
,,haptic-only,0.04,1.25,1,3,stretched,0.8726133999880403,0,ERV,56,1,
,,haptic-only,0.04,0.5,9,6,squashed,3.580546700002742,0,ERV,56,1,
,,haptic-only,0.04,1.5,4,3,stretched,2.8535397999949055,1,ERV,56,1,
,,haptic-only,0.04,1.5,6,3,stretched,2.3706989000056637,0,ERV,56,1,
,,haptic-only,0.04,1,7,6,squashed,2.695536200000788,1,ERV,56,1,
,,haptic-only,0.04,1,9,3,stretched,5.4609276999981375,1,ERV,56,1,
,,haptic-only,0.04,1.25,9,3,stretched,0.04754710000997875,1,ERV,56,1,
,,haptic-only,0.04,0.75,7,6,squashed,1.5774819999933243,0,ERV,56,1,
,,haptic-only,0.04,1.5,0,3,stretched,2.9503985999908764,0,ERV,56,1,
,,haptic-only,0.04,1,3,3,stretched,2.7099673000047915,1,ERV,56,1,
,,haptic-only,0.04,0.5,0,3,stretched,7.915307199989911,1,ERV,56,1,
,,haptic-only,0.04,0.75,3,6,squashed,3.094316100003198,0,ERV,56,1,
,,haptic-only,0.04,1,8,6,squashed,3.7749439000035636,1,ERV,56,1,
,,haptic-only,0.04,1.5,3,3,stretched,1.339583799999673,0,ERV,56,1,
,,haptic-only,0.04,1,0,6,squashed,4.909669599990593,0,ERV,56,1,
,,haptic-only,0.04,0.5,7,6,squashed,5.371687200007727,0,ERV,56,1,
,,haptic-only,0.04,0.5,6,6,squashed,2.2597851999889826,1,ERV,56,1,
,,haptic-only,0.04,0.75,4,6,squashed,0.8309238999936497,1,ERV,56,1,
,,haptic-only,0.04,0.75,1,6,squashed,2.0927050999889616,0,ERV,56,1,
,,haptic-only,0.04,0.75,8,6,squashed,19.788230600010138,0,ERV,56,1,
,,haptic-only,0.04,1,2,6,squashed,5.664113500009989,0,ERV,56,1,
,,haptic-only,0.04,0.75,9,3,stretched,1.1986625999998068,1,ERV,56,1,
,,haptic-only,0.04,0.5,3,6,squashed,5.434038300008979,0,ERV,56,1,
,,haptic-only,0.04,1,6,6,squashed,0.31369090000225697,1,ERV,56,1,
,,haptic-only,0.04,0.75,5,6,squashed,2.4920659000054,1,ERV,56,1,
,,haptic-only,0.04,1.25,2,6,squashed,1.5049678000068525,1,ERV,56,1,
,,haptic-only,0.04,1.25,8,3,stretched,2.4734874999994645,1,ERV,56,1,
,,haptic-only,0.04,1.5,5,6,squashed,1.0456653000001097,1,ERV,56,1,
,,haptic-only,0.04,0.75,2,6,squashed,0.5937631999986479,1,ERV,56,1,
,,haptic-only,0.04,0.5,8,6,squashed,3.2668847999884747,1,ERV,56,1,
,,haptic-only,0.04,1.5,1,3,stretched,1.8735194000037154,0,ERV,56,1,
,,haptic-only,0.04,1.25,6,3,stretched,0.30932109999412205,0,ERV,56,1,
,,haptic-only,0.04,0.5,4,6,squashed,1.335579399994458,0,ERV,56,1,
,,haptic-only,0.04,0.5,1,6,squashed,5.4772363000083715,0,ERV,56,1,
,,haptic-only,0.04,1.25,3,3,stretched,3.7457529999956023,1,ERV,56,1,
,,haptic-only,0.04,1.25,5,3,stretched,2.410907199999201,0,ERV,56,1,
,,haptic-only,0.04,1.5,8,3,stretched,3.356611499999417,0,ERV,56,1,
,,haptic-only,0.04,1,4,3,stretched,1.836597300003632,0,ERV,56,1,
