thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-only,0.04,1.5,3,3,stretched,0.5619857999990927,202,ERV,56,1,
,,visual-only,0.04,0.5,4,6,squashed,5.679192700001295,231,ERV,56,1,
,,visual-only,0.04,1.25,6,6,squashed,0.7372298999980558,227,ERV,56,1,
,,visual-only,0.04,0.75,1,6,squashed,0.8652947000082349,197,ERV,56,1,
,,visual-only,0.04,0.75,8,6,squashed,0.813976300007198,227,ERV,56,1,
,,visual-only,0.04,1,5,6,squashed,0.9316386000136845,203,ERV,56,1,
,,visual-only,0.04,1,4,6,squashed,0.9988864000042668,226,ERV,56,1,
,,visual-only,0.04,1,0,6,squashed,0.5950887999933911,227,ERV,56,1,
,,visual-only,0.04,1.5,7,3,stretched,0.7783374999999069,232,ERV,56,1,
,,visual-only,0.04,1.25,5,3,stretched,0.6787217999954009,225,ERV,56,1,
,,visual-only,0.04,1.5,9,3,stretched,0.7008137999946484,231,ERV,56,1,
,,visual-only,0.04,1.5,8,3,stretched,0.4607263000070816,227,ERV,56,1,
,,visual-only,0.04,1.25,7,3,stretched,5.137519500000053,233,ERV,56,1,
,,visual-only,0.04,0.75,2,6,squashed,1.2619586999935564,227,ERV,56,1,
,,visual-only,0.04,1.25,2,6,squashed,0.595616799997515,227,ERV,56,1,
,,visual-only,0.04,1.5,5,6,squashed,0.5555904999928316,239,ERV,56,1,
,,visual-only,0.04,0.5,2,6,squashed,1.0274442000081763,231,ERV,56,1,
,,visual-only,0.04,0.5,7,6,squashed,0.8793479000014486,228,ERV,56,1,
,,visual-only,0.04,1,3,6,squashed,0.6243380999949295,230,ERV,56,1,
,,visual-only,0.04,0.75,9,6,squashed,1.017856499995105,223,ERV,56,1,
,,visual-only,0.04,1.25,4,3,stretched,0.8399374000000535,228,ERV,56,1,
,,visual-only,0.04,1,6,3,stretched,0.5403170000063255,224,ERV,56,1,
,,visual-only,0.04,0.75,7,3,stretched,0.4922126999881584,234,ERV,56,1,
,,visual-only,0.04,0.5,8,6,squashed,0.1085352999944007,240,ERV,56,1,
,,visual-only,0.04,1.5,0,3,stretched,0.11757259999285452,231,ERV,56,1,
,,visual-only,0.04,0.75,5,6,squashed,0.7903788999974495,236,ERV,56,1,
,,visual-only,0.04,1.25,8,3,stretched,0.8827380000002449,230,ERV,56,1,
,,visual-only,0.04,0.5,5,6,squashed,0.5633343999943463,232,ERV,56,1,
,,visual-only,0.04,1,9,3,stretched,0.6397993999999017,223,ERV,56,1,
,,visual-only,0.04,1.5,2,3,stretched,0.7279950000083772,245,ERV,56,1,
,,visual-only,0.04,1,1,6,squashed,0.6280859999969834,230,ERV,56,1,
,,visual-only,0.04,1.5,1,3,stretched,0.8304967000003671,233,ERV,56,1,
,,visual-only,0.04,0.5,6,6,squashed,0.7440434999880381,232,ERV,56,1,
,,visual-only,0.04,0.5,1,6,squashed,0.5222470000007888,229,ERV,56,1,
,,visual-only,0.04,1.5,6,3,stretched,0.4908847000042442,231,ERV,56,1,
,,visual-only,0.04,0.75,4,6,squashed,0.36660150000534486,216,ERV,56,1,
,,visual-only,0.04,0.5,3,6,squashed,0.3164132999954745,233,ERV,56,1,
,,visual-only,0.04,1,2,3,stretched,5.499340700000175,239,ERV,56,1,
,,visual-only,0.04,1.25,1,3,stretched,0.48627930000657216,228,ERV,56,1,
,,visual-only,0.04,1,7,3,stretched,4.33790629998839,225,ERV,56,1,
,,visual-only,0.04,1,8,3,stretched,1.2019602000073064,225,ERV,56,1,
,,visual-only,0.04,0.75,3,6,squashed,0.14367220000713132,227,ERV,56,1,
,,visual-only,0.04,1.5,4,3,stretched,0.15203729999484494,239,ERV,56,1,
,,visual-only,0.04,0.75,0,6,squashed,3.845426200001384,224,ERV,56,1,
,,visual-only,0.04,1.25,9,3,stretched,0.30365509999683127,226,ERV,56,1,
,,visual-only,0.04,0.5,9,6,squashed,0.5245865000033518,233,ERV,56,1,
,,visual-only,0.04,1.25,3,3,stretched,0.6507955999986734,249,ERV,56,1,
,,visual-only,0.04,0.75,6,3,stretched,0.7350663999968674,227,ERV,56,1,
,,visual-only,0.04,0.5,0,6,squashed,0.41817770000488963,231,ERV,56,1,
,,visual-only,0.04,1.25,0,3,stretched,0.6622987999871839,230,ERV,56,1,
