thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,1.25,6,3,stretched,7.029510900028981,0,JL,56,1,
,,haptic-only,0.04,0.75,3,3,stretched,4.627756199915893,0,JL,56,1,
,,haptic-only,0.04,1,1,3,stretched,3.8047886999556795,0,JL,56,1,
,,haptic-only,0.04,1.5,9,3,stretched,2.0315673999721184,1,JL,56,1,
,,haptic-only,0.04,1.5,4,3,stretched,0.7807039000326768,1,JL,56,1,
,,haptic-only,0.04,0.5,9,6,squashed,3.1682174999732524,1,JL,56,1,
,,haptic-only,0.04,1,4,6,squashed,2.6648343000561,0,JL,56,1,
,,haptic-only,0.04,0.5,7,6,squashed,1.1198096999432892,1,JL,56,1,
,,haptic-only,0.04,0.5,6,6,squashed,0.7065855000400916,0,JL,56,1,
,,haptic-only,0.04,1,0,3,stretched,1.5167628000490367,1,JL,56,1,
,,haptic-only,0.04,0.75,4,6,squashed,1.5745359000284225,1,JL,56,1,
,,haptic-only,0.04,0.75,2,6,squashed,1.1740022000158206,0,JL,56,1,
,,haptic-only,0.04,0.5,5,6,squashed,1.2792214999208227,1,JL,56,1,
,,haptic-only,0.04,1.5,6,3,stretched,1.4387530999956653,0,JL,56,1,
,,haptic-only,0.04,1.25,5,6,squashed,2.4840631000697613,0,JL,56,1,
,,haptic-only,0.04,1.5,7,3,stretched,3.3158701999345794,1,JL,56,1,
,,haptic-only,0.04,0.5,2,6,squashed,1.9005773999961093,0,JL,56,1,
,,haptic-only,0.04,0.75,5,6,squashed,2.5626793999690562,1,JL,56,1,
,,haptic-only,0.04,0.5,1,6,squashed,2.0827506999485195,0,JL,56,1,
,,haptic-only,0.04,0.75,8,6,squashed,2.1696903000120074,0,JL,56,1,
,,haptic-only,0.04,1.25,7,3,stretched,1.8043972000014037,0,JL,56,1,
,,haptic-only,0.04,0.5,8,6,squashed,1.6022758000763133,0,JL,56,1,
,,haptic-only,0.04,1.25,0,3,stretched,1.5433424999937415,0,JL,56,1,
,,haptic-only,0.04,0.5,3,6,squashed,1.8323783999076113,1,JL,56,1,
,,haptic-only,0.04,1,6,3,stretched,1.4896221000235528,0,JL,56,1,
,,haptic-only,0.04,0.75,6,6,squashed,2.6252844999544322,0,JL,56,1,
,,haptic-only,0.04,1.25,2,3,stretched,2.6361220999388024,1,JL,56,1,
,,haptic-only,0.04,1,7,3,stretched,1.7011568999150768,0,JL,56,1,
,,haptic-only,0.04,0.75,0,3,stretched,2.3248949999688193,1,JL,56,1,
,,haptic-only,0.04,1.5,5,3,stretched,1.8846654000226408,0,JL,56,1,
,,haptic-only,0.04,1.25,8,3,stretched,1.395461400039494,1,JL,56,1,
,,haptic-only,0.04,0.75,7,6,squashed,1.6384740000357851,1,JL,56,1,
,,haptic-only,0.04,1.25,9,3,stretched,2.1846161999274045,1,JL,56,1,
,,haptic-only,0.04,1.25,3,3,stretched,1.3735787000041455,0,JL,56,1,
,,haptic-only,0.04,1.25,4,3,stretched,3.7583096000598744,0,JL,56,1,
,,haptic-only,0.04,1,5,3,stretched,1.779897499945946,0,JL,56,1,
,,haptic-only,0.04,1.5,8,3,stretched,1.8251400999724865,1,JL,56,1,
,,haptic-only,0.04,1.5,2,3,stretched,1.4609351000981405,1,JL,56,1,
,,haptic-only,0.04,1,3,3,stretched,0.4052377000916749,0,JL,56,1,
,,haptic-only,0.04,1,8,3,stretched,0.9237705999985337,0,JL,56,1,
,,haptic-only,0.04,0.75,9,6,squashed,1.2110990999499336,0,JL,56,1,
,,haptic-only,0.04,1.5,0,3,stretched,2.0133048000279814,0,JL,56,1,
,,haptic-only,0.04,0.5,4,6,squashed,1.5937522000167519,1,JL,56,1,
,,haptic-only,0.04,1.25,1,6,squashed,2.125218700035475,0,JL,56,1,
,,haptic-only,0.04,1,9,3,stretched,1.3155618000309914,0,JL,56,1,
,,haptic-only,0.04,1.5,1,3,stretched,1.3179912000196055,0,JL,56,1,
,,haptic-only,0.04,1.5,3,3,stretched,2.252600700012408,1,JL,56,1,
,,haptic-only,0.04,0.5,0,6,squashed,1.4379056000616401,1,JL,56,1,
,,haptic-only,0.04,0.75,1,6,squashed,0.4559813999803737,0,JL,56,1,
,,haptic-only,0.04,1,2,3,stretched,0.3179931999184191,0,JL,56,1,
