thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,1,2,0.04,0.75,0,3,stretched,14.603276200010441,222,JL,56,1,
,,visual-haptic,0,2,0.04,0.5,0,6,squashed,1.6677169000031427,228,JL,56,1,
,,visual-haptic,0,1,0.04,0.5,2,3,stretched,3.451491600018926,279,JL,56,1,
,,visual-haptic,1,0,0.04,0.5,0,3,stretched,3.9856714999768883,283,JL,56,1,
,,visual-haptic,0,2,0.04,0.75,0,6,squashed,3.689691499923356,249,JL,56,1,
,,visual-haptic,1,2,0.04,0.75,3,3,stretched,3.3227344999322668,226,JL,56,1,
,,visual-haptic,0,2,0.04,1.25,3,3,stretched,3.755991299985908,230,JL,56,1,
,,visual-haptic,0,2,0.04,1,3,6,squashed,2.2223112999927253,225,JL,56,1,
,,visual-haptic,1,1,0.04,0.75,2,6,squashed,5.34415010001976,278,JL,56,1,
,,visual-haptic,3,0,0.04,1.25,0,3,stretched,2.8754731999943033,242,JL,56,1,
,,visual-haptic,1,2,0.04,1.25,0,3,stretched,2.08912080002483,228,JL,56,1,
,,visual-haptic,0,1,0.04,0.5,0,6,squashed,7.824802899966016,273,JL,56,1,
,,visual-haptic,1,0,0.04,1.25,3,6,squashed,1.7765127999009565,242,JL,56,1,
,,visual-haptic,3,0,0.04,1.5,3,3,stretched,1.9970597000792623,242,JL,56,1,
,,visual-haptic,3,0,0.04,0.75,2,6,squashed,2.041984500014223,243,JL,56,1,
,,visual-haptic,3,0,0.04,1.5,1,3,stretched,1.975670599960722,241,JL,56,1,
,,visual-haptic,0,2,0.04,1.5,3,3,stretched,1.5994931999593973,227,JL,56,1,
,,visual-haptic,3,2,0.04,0.75,3,6,squashed,1.638661399949342,259,JL,56,1,
,,visual-haptic,0,0,0.04,1.25,1,3,stretched,1.417753600049764,249,JL,56,1,
,,visual-haptic,0,0,0.04,1.5,2,6,squashed,1.9287202999694273,243,JL,56,1,
,,visual-haptic,1,1,0.04,0.75,3,6,squashed,1.4061351999407634,274,JL,56,1,
,,visual-haptic,0,2,0.04,1.5,1,3,stretched,1.7917726000305265,229,JL,56,1,
,,visual-haptic,0,1,0.04,1.25,3,3,stretched,1.2115140999667346,274,JL,56,1,
,,visual-haptic,1,1,0.04,1.5,2,3,stretched,1.378510900074616,295,JL,56,1,
,,visual-haptic,1,2,0.04,0.75,1,6,squashed,1.1632710000267252,234,JL,56,1,
,,visual-haptic,1,1,0.04,1.5,1,3,stretched,0.8284357000375167,272,JL,56,1,
,,visual-haptic,0,2,0.04,1,1,6,squashed,1.7971655000001192,230,JL,56,1,
,,visual-haptic,0,1,0.04,1,1,3,stretched,0.8604654000373557,275,JL,56,1,
