thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-only,0.04,0.75,4,6,squashed,5.7188178999349475,233,JL,56,1,
,,visual-only,0.04,1,1,6,squashed,0.24008280003909022,229,JL,56,1,
,,visual-only,0.04,1,8,3,stretched,1.1809394999872893,236,JL,56,1,
,,visual-only,0.04,0.5,2,3,stretched,1.3373057000571862,256,JL,56,1,
,,visual-only,0.04,0.75,1,3,stretched,0.5565688000060618,230,JL,56,1,
,,visual-only,0.04,1.5,2,3,stretched,1.3629364999942482,256,JL,56,1,
,,visual-only,0.04,0.5,9,3,stretched,1.01842829992529,225,JL,56,1,
,,visual-only,0.04,0.5,6,6,squashed,3.618504900019616,262,JL,56,1,
,,visual-only,0.04,1,4,3,stretched,0.8746015999931842,234,JL,56,1,
,,visual-only,0.04,0.75,3,3,stretched,0.23514200001955032,230,JL,56,1,
,,visual-only,0.04,1,9,3,stretched,0.3054101000307128,234,JL,56,1,
,,visual-only,0.04,1,2,3,stretched,0.19497640000190586,216,JL,56,1,
,,visual-only,0.04,1,5,3,stretched,0.0025773000670596957,232,JL,56,1,
,,visual-only,0.04,1,6,3,stretched,0.16859519993886352,225,JL,56,1,
,,visual-only,0.04,0.75,8,3,stretched,0.2827909999759868,243,JL,56,1,
,,visual-only,0.04,0.5,4,3,stretched,0.8953147999709472,261,JL,56,1,
,,visual-only,0.04,1.5,9,3,stretched,0.5231774999992922,241,JL,56,1,
,,visual-only,0.04,1.5,0,3,stretched,0.8345426000887528,233,JL,56,1,
,,visual-only,0.04,0.5,0,3,stretched,0.424867199966684,232,JL,56,1,
,,visual-only,0.04,0.5,1,3,stretched,0.4930365999462083,233,JL,56,1,
,,visual-only,0.04,1.25,9,3,stretched,0.8184503000229597,236,JL,56,1,
,,visual-only,0.04,1.25,6,6,squashed,0.8879789999919012,251,JL,56,1,
,,visual-only,0.04,0.75,5,3,stretched,0.3265744000673294,229,JL,56,1,
,,visual-only,0.04,1.5,1,3,stretched,1.9037084000883624,236,JL,56,1,
,,visual-only,0.04,0.75,6,6,squashed,0.9657319999532774,230,JL,56,1,
,,visual-only,0.04,0.75,7,3,stretched,0.29753330000676215,230,JL,56,1,
,,visual-only,0.04,1,3,3,stretched,0.12794030003715307,229,JL,56,1,
,,visual-only,0.04,1.5,5,6,squashed,0.025855100015178323,217,JL,56,1,
,,visual-only,0.04,1,7,6,squashed,0.3249382000649348,223,JL,56,1,
,,visual-only,0.04,1.25,5,6,squashed,0.203471599961631,221,JL,56,1,
,,visual-only,0.04,1.25,0,6,squashed,0.16927559999749064,227,JL,56,1,
,,visual-only,0.04,1.5,4,3,stretched,1.5546721999999136,254,JL,56,1,
,,visual-only,0.04,0.5,3,6,squashed,0.08442379999905825,235,JL,56,1,
,,visual-only,0.04,1.5,3,6,squashed,0.11255039996467531,242,JL,56,1,
,,visual-only,0.04,1.5,6,6,squashed,0.25191009999252856,227,JL,56,1,
,,visual-only,0.04,1.25,7,3,stretched,0.2637913000071421,223,JL,56,1,
,,visual-only,0.04,1.25,4,3,stretched,0.1996882000239566,230,JL,56,1,
,,visual-only,0.04,1.25,1,6,squashed,0.22511179989669472,227,JL,56,1,
,,visual-only,0.04,0.75,2,6,squashed,0.11191809992305934,252,JL,56,1,
,,visual-only,0.04,0.75,0,6,squashed,0.12370100000407547,221,JL,56,1,
,,visual-only,0.04,1.25,8,6,squashed,0.10080430004745722,230,JL,56,1,
,,visual-only,0.04,1.5,7,6,squashed,0.3726712999632582,251,JL,56,1,
,,visual-only,0.04,1.25,2,6,squashed,0.0889786999905482,216,JL,56,1,
,,visual-only,0.04,0.5,5,6,squashed,0.33366519992705435,222,JL,56,1,
,,visual-only,0.04,1.25,3,6,squashed,0.01849319995380938,231,JL,56,1,
,,visual-only,0.04,1,0,6,squashed,0.270486900000833,207,JL,56,1,
,,visual-only,0.04,1.5,8,6,squashed,0.3845907000359148,230,JL,56,1,
,,visual-only,0.04,0.5,8,6,squashed,0.2701833000173792,230,JL,56,1,
,,visual-only,0.04,0.75,9,6,squashed,0.1867309999652207,239,JL,56,1,
,,visual-only,0.04,0.5,7,6,squashed,0.2213261000579223,229,JL,56,1,
