thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,1.5,1,3,stretched,11.19075549999252,0,KJ,56,1,
,,haptic-only,0.04,0.5,3,6,squashed,3.054378099972382,0,KJ,56,1,
,,haptic-only,0.04,0.5,2,6,squashed,3.4954170000273734,1,KJ,56,1,
,,haptic-only,0.04,0.75,3,6,squashed,3.4151622001081705,0,KJ,56,1,
,,haptic-only,0.04,1.5,2,3,stretched,3.676217099884525,0,KJ,56,1,
,,haptic-only,0.04,1.5,0,3,stretched,2.0073346002027392,0,KJ,56,1,
,,haptic-only,0.04,0.75,2,6,squashed,2.2006061000283808,0,KJ,56,1,
,,haptic-only,0.04,1.25,2,3,stretched,2.160682300105691,1,KJ,56,1,
,,haptic-only,0.04,1,1,3,stretched,2.0653901998884976,1,KJ,56,1,
,,haptic-only,0.04,0.5,0,6,squashed,1.885949800023809,0,KJ,56,1,
,,haptic-only,0.04,1.5,3,3,stretched,0.9275430000852793,1,KJ,56,1,
,,haptic-only,0.04,1.25,3,3,stretched,0.7461308999918401,0,KJ,56,1,
,,haptic-only,0.04,1.25,1,3,stretched,0.6638867000583559,0,KJ,56,1,
,,haptic-only,0.04,0.5,1,6,squashed,0.5888774998020381,1,KJ,56,1,
,,haptic-only,0.04,1,2,3,stretched,0.382881399942562,1,KJ,56,1,
,,haptic-only,0.04,1.25,0,3,stretched,1.490348600083962,1,KJ,56,1,
,,haptic-only,0.04,0.75,0,6,squashed,0.5288470999803394,0,KJ,56,1,
,,haptic-only,0.04,1,3,3,stretched,0.050214000046253204,1,KJ,56,1,
,,haptic-only,0.04,1,0,3,stretched,0.27058220002800226,0,KJ,56,1,
,,haptic-only,0.04,0.75,1,6,squashed,1.5656832999084145,1,KJ,56,1,
