thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-after,0.04,1.25,0,3,stretched,1.3088479000143707,225,KJ,56,1,
,,visual-after,0.04,1.5,8,3,stretched,0.23960380000062287,249,KJ,56,1,
,,visual-after,0.04,0.5,4,6,squashed,0.170598000055179,254,KJ,56,1,
,,visual-after,0.04,1.25,2,3,stretched,0.2024795999750495,271,KJ,56,1,
,,visual-after,0.04,0.75,2,6,squashed,0.07950100000016391,262,KJ,56,1,
,,visual-after,0.04,0.75,5,6,squashed,0.159407899947837,255,KJ,56,1,
,,visual-after,0.04,1,5,6,squashed,0.8544056001119316,263,KJ,56,1,
,,visual-after,0.04,1,3,6,squashed,0.17517019994556904,213,KJ,56,1,
,,visual-after,0.04,1.25,6,6,squashed,0.07055340008810163,251,KJ,56,1,
,,visual-after,0.04,0.75,7,6,squashed,0.15608460013754666,258,KJ,56,1,
,,visual-after,0.04,1.5,5,3,stretched,0.1536875998135656,252,KJ,56,1,
,,visual-after,0.04,1.25,4,3,stretched,0.19810749986208975,250,KJ,56,1,
,,visual-after,0.04,1,9,6,squashed,0.0320637000259012,268,KJ,56,1,
,,visual-after,0.04,0.5,6,6,squashed,0.052659699926152825,227,KJ,56,1,
,,visual-after,0.04,0.5,5,6,squashed,0.1431513000279665,253,KJ,56,1,
,,visual-after,0.04,0.5,3,6,squashed,0.3635299999732524,253,KJ,56,1,
,,visual-after,0.04,1.5,3,3,stretched,0.1804680998902768,289,KJ,56,1,
,,visual-after,0.04,1,2,6,squashed,0.16147079993970692,234,KJ,56,1,
,,visual-after,0.04,0.75,4,6,squashed,0.193189499899745,264,KJ,56,1,
,,visual-after,0.04,1.5,6,3,stretched,0.10610960004851222,266,KJ,56,1,
,,visual-after,0.04,1.25,1,3,stretched,0.07124889991246164,257,KJ,56,1,
,,visual-after,0.04,1,6,6,squashed,0.1338184999767691,245,KJ,56,1,
,,visual-after,0.04,0.5,7,6,squashed,1.2652434001211077,260,KJ,56,1,
,,visual-after,0.04,0.75,8,6,squashed,0.24636740004643798,258,KJ,56,1,
,,visual-after,0.04,0.75,9,6,squashed,0.019053399795666337,259,KJ,56,1,
,,visual-after,0.04,1.5,2,3,stretched,0.17064139991998672,248,KJ,56,1,
,,visual-after,0.04,0.5,0,6,squashed,0.16854820004664361,250,KJ,56,1,
,,visual-after,0.04,1.25,7,3,stretched,0.04378749988973141,251,KJ,56,1,
,,visual-after,0.04,0.5,2,6,squashed,0.16387349995784461,249,KJ,56,1,
,,visual-after,0.04,1,4,3,stretched,0.2256199000403285,243,KJ,56,1,
,,visual-after,0.04,1.5,9,3,stretched,0.1096665000077337,264,KJ,56,1,
,,visual-after,0.04,0.5,1,3,stretched,0.2023122999817133,256,KJ,56,1,
,,visual-after,0.04,1,0,6,squashed,0.17349629988893867,249,KJ,56,1,
,,visual-after,0.04,0.5,9,6,squashed,0.08579289983026683,276,KJ,56,1,
,,visual-after,0.04,1.5,7,3,stretched,0.18706040014512837,263,KJ,56,1,
,,visual-after,0.04,0.5,8,6,squashed,0.18417139980010688,300,KJ,56,1,
,,visual-after,0.04,1.25,5,3,stretched,1.0523737000767142,260,KJ,56,1,
,,visual-after,0.04,0.75,6,3,stretched,0.23373029986396432,295,KJ,56,1,
,,visual-after,0.04,1.5,0,3,stretched,0.16744329989887774,244,KJ,56,1,
,,visual-after,0.04,0.75,3,6,squashed,0.09715889999642968,228,KJ,56,1,
,,visual-after,0.04,1.5,4,3,stretched,0.11908069998025894,230,KJ,56,1,
,,visual-after,0.04,1,8,3,stretched,0.1926816999912262,238,KJ,56,1,
,,visual-after,0.04,0.75,1,6,squashed,0.3597921999171376,282,KJ,56,1,
,,visual-after,0.04,1,7,3,stretched,0.19340759981423616,246,KJ,56,1,
,,visual-after,0.04,1.25,3,3,stretched,0.20533819985575974,269,KJ,56,1,
,,visual-after,0.04,0.75,0,6,squashed,0.19087950000539422,240,KJ,56,1,
,,visual-after,0.04,1,1,3,stretched,0.6587900000158697,234,KJ,56,1,
,,visual-after,0.04,1.25,8,3,stretched,0.19336209981702268,289,KJ,56,1,
,,visual-after,0.04,1.25,9,3,stretched,0.1772863999940455,244,KJ,56,1,
,,visual-after,0.04,1.5,1,3,stretched,0.3106611000839621,273,KJ,56,1,
