thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,1,0,0.04,1.5,3,3,stretched,4.422235199948773,253,KJ,56,1,
,,visual-haptic,3,0,0.04,1.25,3,3,stretched,2.8478135999757797,278,KJ,56,1,
,,visual-haptic,3,2,0.04,0.5,1,6,squashed,1.6289928001351655,260,KJ,56,1,
,,visual-haptic,0,1,0.04,0.75,1,6,squashed,2.9359651000704616,336,KJ,56,1,
,,visual-haptic,3,1,0.04,1.5,0,3,stretched,5.470115900039673,272,KJ,56,1,
,,visual-haptic,1,1,0.04,0.5,3,6,squashed,0.7843036002013832,324,KJ,56,1,
,,visual-haptic,1,2,0.04,1.25,0,3,stretched,1.075611000182107,250,KJ,56,1,
,,visual-haptic,3,1,0.04,0.5,1,6,squashed,0.7951116999611259,327,KJ,56,1,
,,visual-haptic,3,2,0.04,1.5,3,3,stretched,0.3646168000996113,241,KJ,56,1,
,,visual-haptic,3,2,0.04,1.25,2,3,stretched,0.4864449999295175,264,KJ,56,1,
,,visual-haptic,3,1,0.04,1.25,1,3,stretched,0.5440409001894295,322,KJ,56,1,
,,visual-haptic,3,1,0.04,0.75,2,6,squashed,0.639045299962163,292,KJ,56,1,
,,visual-haptic,0,0,0.04,0.75,2,6,squashed,1.372987600043416,267,KJ,56,1,
,,visual-haptic,0,0,0.04,0.5,3,6,squashed,0.7386852998752147,291,KJ,56,1,
,,visual-haptic,3,1,0.04,1.25,0,3,stretched,0.5155533000361174,298,KJ,56,1,
,,visual-haptic,3,1,0.04,0.75,0,6,squashed,0.9098437000066042,311,KJ,56,1,
,,visual-haptic,3,1,0.04,1.5,2,3,stretched,1.456377699971199,293,KJ,56,1,
,,visual-haptic,3,0,0.04,0.5,0,6,squashed,0.8963701999746263,254,KJ,56,1,
,,visual-haptic,3,0,0.04,1.5,3,3,stretched,0.3284248998388648,269,KJ,56,1,
,,visual-haptic,1,1,0.04,0.5,2,6,squashed,0.48922050022520125,354,KJ,56,1,
,,visual-haptic,0,1,0.04,0.75,3,6,squashed,0.7517864000983536,296,KJ,56,1,
,,visual-haptic,1,2,0.04,0.5,2,6,squashed,0.7481126999482512,224,KJ,56,1,
,,visual-haptic,0,1,0.04,0.5,1,6,squashed,0.406341299880296,277,KJ,56,1,
,,visual-haptic,0,2,0.04,1.5,1,3,stretched,0.5175674001220614,214,KJ,56,1,
,,visual-haptic,3,0,0.04,1.5,2,3,stretched,0.2849991999100894,237,KJ,56,1,
,,visual-haptic,0,1,0.04,1.25,3,3,stretched,3.5696690999902785,294,KJ,56,1,
,,visual-haptic,1,1,0.04,0.75,2,6,squashed,5.289688999997452,315,KJ,56,1,
,,visual-haptic,1,0,0.04,1.5,0,3,stretched,2.2973327999934554,271,KJ,56,1,
,,visual-haptic,3,1,0.04,0.5,0,6,squashed,2.5591711001470685,308,KJ,56,1,
,,visual-haptic,1,0,0.04,0.5,1,6,squashed,0.31667960016056895,296,KJ,56,1,
,,visual-haptic,0,1,0.04,1.5,1,3,stretched,0.6745039999950677,280,KJ,56,1,
,,visual-haptic,3,1,0.04,1.25,2,3,stretched,1.5350122000090778,301,KJ,56,1,
,,visual-haptic,0,1,0.04,1,1,3,stretched,3.735700499964878,299,KJ,56,1,
,,visual-haptic,0,2,0.04,1,3,3,stretched,0.9104387999977916,231,KJ,56,1,
,,visual-haptic,0,1,0.04,1.5,3,3,stretched,0.1799987000413239,300,KJ,56,1,
,,visual-haptic,0,2,0.04,0.75,2,6,squashed,0.47896550013683736,271,KJ,56,1,
,,visual-haptic,0,0,0.04,0.75,3,6,squashed,1.0571930999867618,276,KJ,56,1,
,,visual-haptic,1,2,0.04,0.5,3,6,squashed,0.21469820011407137,236,KJ,56,1,
,,visual-haptic,3,0,0.04,1.25,1,3,stretched,0.2574990000575781,275,KJ,56,1,
,,visual-haptic,0,1,0.04,0.75,2,6,squashed,0.5252940999343991,324,KJ,56,1,
,,visual-haptic,3,0,0.04,1,3,3,stretched,0.002745299832895398,269,KJ,56,1,
,,visual-haptic,1,2,0.04,1.25,2,3,stretched,0.6074505001306534,244,KJ,56,1,
,,visual-haptic,3,1,0.04,1.5,1,3,stretched,0.730239300057292,298,KJ,56,1,
,,visual-haptic,3,2,0.04,0.75,0,6,squashed,0.905798900173977,250,KJ,56,1,
,,visual-haptic,1,1,0.04,1,3,3,stretched,1.1672253001015633,301,KJ,56,1,
,,visual-haptic,1,1,0.04,1,1,3,stretched,0.47794389980845153,317,KJ,56,1,
,,visual-haptic,0,1,0.04,0.5,0,6,squashed,0.8781291998457164,301,KJ,56,1,
,,visual-haptic,3,0,0.04,1,2,3,stretched,0.7932376998942345,277,KJ,56,1,
,,visual-haptic,1,2,0.04,1.5,3,3,stretched,1.0807606999296695,248,KJ,56,1,
,,visual-haptic,1,1,0.04,1.25,1,3,stretched,0.2721674998756498,335,KJ,56,1,
,,visual-haptic,3,2,0.04,1,2,3,stretched,0.2965671999845654,269,KJ,56,1,
,,visual-haptic,0,0,0.04,0.75,0,6,squashed,0.18717169994488358,284,KJ,56,1,
,,visual-haptic,1,1,0.04,1.25,0,3,stretched,0.5741986001376063,322,KJ,56,1,
,,visual-haptic,3,2,0.04,0.5,0,6,squashed,0.5588746999856085,252,KJ,56,1,
,,visual-haptic,0,2,0.04,0.5,3,6,squashed,0.9228476998396218,253,KJ,56,1,
,,visual-haptic,1,0,0.04,1.5,1,3,stretched,0.4477947000414133,285,KJ,56,1,
,,visual-haptic,1,2,0.04,0.75,0,6,squashed,0.4516406999900937,277,KJ,56,1,
