thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-only,0.04,1,3,3,stretched,2.4325415999628603,236,KJ,56,1,
,,visual-only,0.04,1,8,6,squashed,0.800128199858591,243,KJ,56,1,
,,visual-only,0.04,1.5,5,3,stretched,1.504394499817863,228,KJ,56,1,
,,visual-only,0.04,1,9,6,squashed,0.4233390998560935,212,KJ,56,1,
,,visual-only,0.04,1,2,6,squashed,0.7535494999028742,255,KJ,56,1,
,,visual-only,0.04,1.25,8,3,stretched,0.4441754000727087,270,KJ,56,1,
,,visual-only,0.04,1.25,0,3,stretched,0.5514981001615524,259,KJ,56,1,
,,visual-only,0.04,1.5,2,3,stretched,0.7406705000903457,224,KJ,56,1,
,,visual-only,0.04,0.75,8,6,squashed,0.3007223999593407,274,KJ,56,1,
,,visual-only,0.04,1.5,6,6,squashed,0.28025790001265705,269,KJ,56,1,
,,visual-only,0.04,0.75,2,6,squashed,0.22194779990240932,282,KJ,56,1,
,,visual-only,0.04,1,4,6,squashed,0.8084813999012113,262,KJ,56,1,
,,visual-only,0.04,1.5,1,3,stretched,0.26281809993088245,226,KJ,56,1,
,,visual-only,0.04,0.5,9,6,squashed,0.2182005001232028,282,KJ,56,1,
,,visual-only,0.04,1.5,0,3,stretched,0.1776640999596566,240,KJ,56,1,
,,visual-only,0.04,0.75,6,6,squashed,0.19140599993988872,224,KJ,56,1,
,,visual-only,0.04,0.5,3,6,squashed,0.19642450008541346,268,KJ,56,1,
,,visual-only,0.04,0.75,3,6,squashed,0.4520655998494476,246,KJ,56,1,
,,visual-only,0.04,1.5,7,3,stretched,0.11433740006759763,262,KJ,56,1,
,,visual-only,0.04,0.5,5,6,squashed,0.16654119989834726,241,KJ,56,1,
,,visual-only,0.04,1,5,3,stretched,0.1848067999817431,295,KJ,56,1,
,,visual-only,0.04,0.75,7,6,squashed,1.4175126000773162,248,KJ,56,1,
,,visual-only,0.04,1.25,9,3,stretched,0.2394697000272572,236,KJ,56,1,
,,visual-only,0.04,1.25,7,3,stretched,0.218812600011006,259,KJ,56,1,
,,visual-only,0.04,1,7,6,squashed,0.14700839994475245,252,KJ,56,1,
,,visual-only,0.04,0.75,4,6,squashed,0.21305630006827414,257,KJ,56,1,
,,visual-only,0.04,0.5,2,6,squashed,0.18780489987693727,264,KJ,56,1,
,,visual-only,0.04,0.5,0,6,squashed,0.1695558000355959,247,KJ,56,1,
,,visual-only,0.04,1.25,5,3,stretched,0.23945749993436038,274,KJ,56,1,
,,visual-only,0.04,0.5,8,6,squashed,0.17405140004120767,256,KJ,56,1,
,,visual-only,0.04,1.5,4,3,stretched,0.26524109998717904,256,KJ,56,1,
,,visual-only,0.04,1.5,9,3,stretched,0.2150924000889063,247,KJ,56,1,
,,visual-only,0.04,1.25,4,3,stretched,0.17558149993419647,273,KJ,56,1,
,,visual-only,0.04,0.75,0,6,squashed,0.13576490012928843,277,KJ,56,1,
,,visual-only,0.04,0.5,1,6,squashed,0.07234259997494519,264,KJ,56,1,
,,visual-only,0.04,0.75,5,6,squashed,0.07623360003344715,228,KJ,56,1,
,,visual-only,0.04,0.5,7,6,squashed,0.07743860012851655,254,KJ,56,1,
,,visual-only,0.04,1,6,6,squashed,0.5233142001088709,237,KJ,56,1,
,,visual-only,0.04,1.5,8,3,stretched,0.5552264999132603,262,KJ,56,1,
,,visual-only,0.04,0.5,4,6,squashed,0.2064898000098765,293,KJ,56,1,
,,visual-only,0.04,1.25,1,3,stretched,0.20231019984930754,221,KJ,56,1,
,,visual-only,0.04,1,1,6,squashed,0.06076089991256595,237,KJ,56,1,
,,visual-only,0.04,0.5,6,6,squashed,0.1687370000872761,246,KJ,56,1,
,,visual-only,0.04,0.75,1,3,stretched,0.20814749994315207,224,KJ,56,1,
,,visual-only,0.04,0.75,9,3,stretched,0.6858360001351684,256,KJ,56,1,
,,visual-only,0.04,1,0,6,squashed,0.638071799883619,237,KJ,56,1,
,,visual-only,0.04,1.25,3,3,stretched,0.17253310000523925,236,KJ,56,1,
,,visual-only,0.04,1.25,6,6,squashed,0.1770723001100123,254,KJ,56,1,
,,visual-only,0.04,1.25,2,6,squashed,0.3879750999622047,250,KJ,56,1,
,,visual-only,0.04,1.5,3,3,stretched,0.5165762000251561,220,KJ,56,1,
