thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,0.75,2,6,squashed,21.319280099938624,1,RB,56,1,
,,haptic-only,0.04,1.5,3,6,squashed,5.205065199988894,1,RB,56,1,
,,haptic-only,0.04,1.25,0,3,stretched,12.093355200020596,1,RB,56,1,
,,haptic-only,0.04,0.75,0,6,squashed,3.8917006000410765,0,RB,56,1,
,,haptic-only,0.04,0.75,1,3,stretched,3.6231337999925017,0,RB,56,1,
,,haptic-only,0.04,1,3,3,stretched,2.048441000049934,0,RB,56,1,
,,haptic-only,0.04,1.25,2,3,stretched,1.849572699982673,1,RB,56,1,
,,haptic-only,0.04,0.5,3,6,squashed,1.1563494000583887,1,RB,56,1,
,,haptic-only,0.04,0.75,3,3,stretched,3.1482337000779808,0,RB,56,1,
,,haptic-only,0.04,1.5,1,3,stretched,1.332020999980159,0,RB,56,1,
,,haptic-only,0.04,1.5,0,3,stretched,1.1468386000487953,0,RB,56,1,
,,haptic-only,0.04,1.25,1,3,stretched,4.075614499975927,0,RB,56,1,
,,haptic-only,0.04,0.5,0,6,squashed,1.2530725999968126,1,RB,56,1,
,,haptic-only,0.04,1,0,3,stretched,1.7829237000551075,1,RB,56,1,
,,haptic-only,0.04,0.5,1,6,squashed,0.6766797000309452,1,RB,56,1,
,,haptic-only,0.04,1,2,3,stretched,0.6787603999255225,0,RB,56,1,
,,haptic-only,0.04,1.25,3,3,stretched,0.28994130005594343,1,RB,56,1,
,,haptic-only,0.04,0.5,2,6,squashed,4.781117400038056,1,RB,56,1,
,,haptic-only,0.04,1.5,2,6,squashed,5.792664199951105,0,RB,56,1,
,,haptic-only,0.04,1,1,3,stretched,1.8445487000280991,0,RB,56,1,
