thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,1,1,0.04,1,2,3,stretched,6.012677100021392,291,RB,56,1,
,,visual-haptic,3,0,0.04,1,3,3,stretched,11.225079800002277,266,RB,56,1,
,,visual-haptic,3,0,0.04,1,2,3,stretched,3.568904499989003,258,RB,56,1,
,,visual-haptic,1,1,0.04,1.5,0,3,stretched,2.7256281001027673,271,RB,56,1,
,,visual-haptic,1,1,0.04,1.25,1,6,squashed,2.5303863999433815,272,RB,56,1,
,,visual-haptic,1,1,0.04,1,0,3,stretched,1.5922393000219017,333,RB,56,1,
,,visual-haptic,3,2,0.04,1,1,6,squashed,2.59659750002902,252,RB,56,1,
,,visual-haptic,3,2,0.04,0.5,1,6,squashed,1.7819097000174224,233,RB,56,1,
,,visual-haptic,0,0,0.04,1.5,0,3,stretched,5.482935099978931,264,RB,56,1,
,,visual-haptic,0,1,0.04,1.5,0,3,stretched,1.464696100098081,299,RB,56,1,
,,visual-haptic,3,2,0.04,1.5,2,3,stretched,1.072024599998258,263,RB,56,1,
,,visual-haptic,0,1,0.04,1,0,6,squashed,1.558156399987638,272,RB,56,1,
,,visual-haptic,0,0,0.04,0.5,3,6,squashed,1.0579715999774635,246,RB,56,1,
,,visual-haptic,3,1,0.04,0.5,1,6,squashed,0.9706723000854254,277,RB,56,1,
,,visual-haptic,3,0,0.04,1.25,0,6,squashed,2.721049900050275,244,RB,56,1,
,,visual-haptic,1,2,0.04,1,2,6,squashed,2.395104299997911,263,RB,56,1,
,,visual-haptic,0,1,0.04,1.5,3,6,squashed,1.2974567000055686,279,RB,56,1,
,,visual-haptic,1,0,0.04,1.25,3,6,squashed,0.8519729999825358,243,RB,56,1,
,,visual-haptic,3,2,0.04,1.25,0,6,squashed,1.8828517999500036,243,RB,56,1,
,,visual-haptic,3,1,0.04,1.5,0,3,stretched,3.0237605000147596,274,RB,56,1,
,,visual-haptic,3,2,0.04,0.75,1,6,squashed,1.1126172000076622,230,RB,56,1,
,,visual-haptic,3,1,0.04,0.75,0,6,squashed,2.828724900027737,272,RB,56,1,
,,visual-haptic,1,2,0.04,1.5,3,3,stretched,1.559677500044927,247,RB,56,1,
,,visual-haptic,0,1,0.04,0.75,0,6,squashed,0.9795375999528915,278,RB,56,1,
,,visual-haptic,3,1,0.04,0.5,3,6,squashed,4.313465500017628,271,RB,56,1,
,,visual-haptic,1,0,0.04,1,2,3,stretched,1.9848697000415996,272,RB,56,1,
,,visual-haptic,3,1,0.04,1,1,3,stretched,1.481545599992387,294,RB,56,1,
,,visual-haptic,3,2,0.04,0.75,2,6,squashed,1.0253134000813589,243,RB,56,1,
,,visual-haptic,0,0,0.04,0.5,2,6,squashed,0.9670217999955639,241,RB,56,1,
,,visual-haptic,0,0,0.04,0.75,2,6,squashed,0.33451959991361946,244,RB,56,1,
,,visual-haptic,1,0,0.04,1.25,1,3,stretched,0.725729399942793,239,RB,56,1,
,,visual-haptic,0,0,0.04,1.25,0,3,stretched,1.8564916000468656,244,RB,56,1,
,,visual-haptic,0,2,0.04,1,2,3,stretched,0.35207690007518977,245,RB,56,1,
,,visual-haptic,1,1,0.04,0.5,3,6,squashed,1.181643299991265,319,RB,56,1,
,,visual-haptic,1,0,0.04,1,3,3,stretched,1.3049412000691518,264,RB,56,1,
,,visual-haptic,3,1,0.04,0.75,3,6,squashed,3.963943100068718,277,RB,56,1,
,,visual-haptic,3,2,0.04,1.25,3,3,stretched,1.4637099000392482,229,RB,56,1,
,,visual-haptic,0,0,0.04,1.5,2,3,stretched,1.4700892000691965,265,RB,56,1,
,,visual-haptic,0,2,0.04,1.5,2,3,stretched,1.0516954999184236,258,RB,56,1,
,,visual-haptic,0,1,0.04,1,1,3,stretched,1.3022264000028372,276,RB,56,1,
,,visual-haptic,1,0,0.04,0.5,1,6,squashed,2.382132999948226,245,RB,56,1,
,,visual-haptic,3,2,0.04,0.5,3,6,squashed,1.8870373000390828,230,RB,56,1,
,,visual-haptic,0,0,0.04,0.75,0,6,squashed,3.733729299972765,260,RB,56,1,
,,visual-haptic,1,2,0.04,0.75,3,6,squashed,1.1343780999304727,255,RB,56,1,
,,visual-haptic,1,1,0.04,1.5,2,3,stretched,1.9319248999236152,296,RB,56,1,
,,visual-haptic,3,0,0.04,0.5,0,6,squashed,2.828979799989611,239,RB,56,1,
,,visual-haptic,1,0,0.04,1.25,0,6,squashed,5.966111299931072,238,RB,56,1,
,,visual-haptic,3,2,0.04,1.5,3,3,stretched,6.559400799917057,232,RB,56,1,
,,visual-haptic,0,2,0.04,1,3,3,stretched,1.706879600067623,229,RB,56,1,
