thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-only,0.04,1.5,7,3,stretched,6.018519900040701,262,RB,56,1,
,,visual-only,0.04,1,9,3,stretched,0.561610099975951,234,RB,56,1,
,,visual-only,0.04,0.75,7,3,stretched,0.0976475999923423,277,RB,56,1,
,,visual-only,0.04,1.25,0,3,stretched,3.4834293000167236,220,RB,56,1,
,,visual-only,0.04,0.5,0,3,stretched,0.8394398000091314,290,RB,56,1,
,,visual-only,0.04,1.25,4,3,stretched,2.029648199910298,228,RB,56,1,
,,visual-only,0.04,1,1,3,stretched,3.900152000016533,256,RB,56,1,
,,visual-only,0.04,1.5,0,3,stretched,0.673443999956362,263,RB,56,1,
,,visual-only,0.04,0.75,8,3,stretched,0.44473979994654655,230,RB,56,1,
,,visual-only,0.04,1.25,1,3,stretched,3.426833900040947,267,RB,56,1,
,,visual-only,0.04,0.75,6,3,stretched,0.6059094000374898,240,RB,56,1,
,,visual-only,0.04,1.25,6,3,stretched,0.3145784999942407,197,RB,56,1,
,,visual-only,0.04,0.5,7,6,squashed,0.2752574000041932,237,RB,56,1,
,,visual-only,0.04,1.5,9,3,stretched,2.205427599954419,256,RB,56,1,
,,visual-only,0.04,1.25,9,3,stretched,1.064487099996768,233,RB,56,1,
,,visual-only,0.04,1,8,3,stretched,3.0648773999419063,269,RB,56,1,
,,visual-only,0.04,0.5,9,3,stretched,1.8121978999115527,231,RB,56,1,
,,visual-only,0.04,1.25,5,3,stretched,5.581826600013301,238,RB,56,1,
,,visual-only,0.04,1,6,6,squashed,0.8486534000840038,287,RB,56,1,
,,visual-only,0.04,0.75,3,3,stretched,3.4963499000295997,232,RB,56,1,
,,visual-only,0.04,0.75,9,6,squashed,2.9446865000063553,244,RB,56,1,
,,visual-only,0.04,0.5,3,6,squashed,0.6258109000045806,234,RB,56,1,
,,visual-only,0.04,1.25,2,6,squashed,0.18112459999974817,245,RB,56,1,
,,visual-only,0.04,1,4,3,stretched,2.713679499924183,227,RB,56,1,
,,visual-only,0.04,0.75,0,6,squashed,0.28028819989413023,229,RB,56,1,
,,visual-only,0.04,1.25,3,3,stretched,0.2971529000205919,236,RB,56,1,
,,visual-only,0.04,0.5,2,6,squashed,2.085988700040616,224,RB,56,1,
,,visual-only,0.04,1.5,8,3,stretched,2.6369482999434695,259,RB,56,1,
,,visual-only,0.04,1.5,3,3,stretched,2.692077299929224,276,RB,56,1,
,,visual-only,0.04,1.25,8,3,stretched,2.784498600056395,229,RB,56,1,
,,visual-only,0.04,1.5,6,3,stretched,3.804609699989669,278,RB,56,1,
,,visual-only,0.04,0.75,5,6,squashed,0.09968009998556226,229,RB,56,1,
,,visual-only,0.04,0.5,6,6,squashed,0.02409239998087287,214,RB,56,1,
,,visual-only,0.04,0.5,5,6,squashed,2.6145117999985814,216,RB,56,1,
,,visual-only,0.04,0.75,1,6,squashed,2.575453700032085,254,RB,56,1,
,,visual-only,0.04,0.5,1,6,squashed,3.666778999962844,256,RB,56,1,
,,visual-only,0.04,1.25,7,3,stretched,2.669416999910027,231,RB,56,1,
,,visual-only,0.04,1.5,4,3,stretched,0.2714742000680417,231,RB,56,1,
,,visual-only,0.04,1.5,5,3,stretched,2.6667135000461712,231,RB,56,1,
,,visual-only,0.04,1,7,3,stretched,2.663132199901156,196,RB,56,1,
,,visual-only,0.04,1.5,1,3,stretched,0.0732053000247106,243,RB,56,1,
,,visual-only,0.04,0.5,4,6,squashed,1.4810960000613704,218,RB,56,1,
,,visual-only,0.04,1,2,6,squashed,3.2538197999820113,249,RB,56,1,
,,visual-only,0.04,0.5,8,6,squashed,2.022534599993378,246,RB,56,1,
,,visual-only,0.04,0.75,4,6,squashed,0.2911304000299424,241,RB,56,1,
,,visual-only,0.04,1,3,3,stretched,0.5651543999556452,252,RB,56,1,
,,visual-only,0.04,1,5,6,squashed,0.6002420999575406,275,RB,56,1,
,,visual-only,0.04,1.5,2,3,stretched,2.3599929999327287,249,RB,56,1,
,,visual-only,0.04,0.75,2,6,squashed,2.1846615999238566,274,RB,56,1,
,,visual-only,0.04,1,0,6,squashed,2.9087798000546172,241,RB,56,1,
