thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,1,2,3,stretched,10.234996800078079,0,ag,56,1,
,,haptic-only,0.04,1.5,3,3,stretched,3.9886284999083728,1,ag,56,1,
,,haptic-only,0.04,1.5,2,3,stretched,1.9186009999830276,0,ag,56,1,
,,haptic-only,0.04,0.75,2,6,squashed,1.9075457998551428,1,ag,56,1,
,,haptic-only,0.04,0.75,0,6,squashed,2.671577400062233,1,ag,56,1,
,,haptic-only,0.04,1.25,1,3,stretched,1.0047813998535275,0,ag,56,1,
,,haptic-only,0.04,0.75,1,6,squashed,2.3775666998699307,0,ag,56,1,
,,haptic-only,0.04,0.75,3,6,squashed,1.3929377000313252,1,ag,56,1,
,,haptic-only,0.04,1.5,0,3,stretched,1.3393325000070035,0,ag,56,1,
,,haptic-only,0.04,1.5,1,3,stretched,1.7166015000548214,0,ag,56,1,
,,haptic-only,0.04,1.25,0,3,stretched,1.6438128999434412,1,ag,56,1,
,,haptic-only,0.04,0.5,2,6,squashed,1.50006840005517,1,ag,56,1,
,,haptic-only,0.04,0.5,1,6,squashed,0.8220532000996172,1,ag,56,1,
,,haptic-only,0.04,1.25,3,3,stretched,1.472356499871239,0,ag,56,1,
,,haptic-only,0.04,1.25,2,3,stretched,1.246492699952796,1,ag,56,1,
,,haptic-only,0.04,1,0,3,stretched,1.0050602001138031,1,ag,56,1,
,,haptic-only,0.04,0.5,0,6,squashed,0.6820859999861568,0,ag,56,1,
,,haptic-only,0.04,0.5,3,6,squashed,1.2420874000526965,1,ag,56,1,
,,haptic-only,0.04,1,1,3,stretched,1.2145382999442518,1,ag,56,1,
,,haptic-only,0.04,1,3,3,stretched,1.238887800136581,0,ag,56,1,
