thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-after,0.04,0.75,7,3,stretched,1.3937279998790473,274,ag,56,1,
,,visual-after,0.04,1.25,7,3,stretched,0.594143700087443,248,ag,56,1,
,,visual-after,0.04,0.75,2,6,squashed,0.2696002998854965,258,ag,56,1,
,,visual-after,0.04,1.25,6,6,squashed,0.3984375,234,ag,56,1,
,,visual-after,0.04,1,1,6,squashed,0.30580580001696944,231,ag,56,1,
,,visual-after,0.04,1.5,4,6,squashed,0.3996278000995517,292,ag,56,1,
,,visual-after,0.04,0.75,6,6,squashed,0.394668199820444,217,ag,56,1,
,,visual-after,0.04,1.5,9,6,squashed,0.2893560000229627,260,ag,56,1,
,,visual-after,0.04,1,3,6,squashed,0.29247480002231896,310,ag,56,1,
,,visual-after,0.04,1,0,6,squashed,0.4118612001184374,228,ag,56,1,
,,visual-after,0.04,1.25,2,3,stretched,0.2814181998837739,231,ag,56,1,
,,visual-after,0.04,0.5,0,3,stretched,0.39519259985536337,296,ag,56,1,
,,visual-after,0.04,0.75,3,6,squashed,0.3254283000715077,231,ag,56,1,
,,visual-after,0.04,1.5,8,3,stretched,0.3536761000286788,253,ag,56,1,
,,visual-after,0.04,1.5,7,3,stretched,0.4094450999982655,294,ag,56,1,
,,visual-after,0.04,1,5,6,squashed,0.34750479995273054,269,ag,56,1,
,,visual-after,0.04,1.25,9,6,squashed,0.4609758001752198,270,ag,56,1,
,,visual-after,0.04,1.25,1,6,squashed,0.3687600998673588,214,ag,56,1,
,,visual-after,0.04,0.75,8,6,squashed,0.31419700011610985,255,ag,56,1,
,,visual-after,0.04,0.5,1,6,squashed,0.5242059000302106,250,ag,56,1,
,,visual-after,0.04,0.5,9,6,squashed,0.31763520021922886,269,ag,56,1,
,,visual-after,0.04,1.25,8,3,stretched,0.791333100060001,276,ag,56,1,
,,visual-after,0.04,1.25,5,3,stretched,0.5658441998530179,254,ag,56,1,
,,visual-after,0.04,0.5,2,6,squashed,0.3230864000506699,247,ag,56,1,
,,visual-after,0.04,0.5,8,6,squashed,0.3010939999949187,266,ag,56,1,
,,visual-after,0.04,1.25,3,6,squashed,0.27672540000639856,281,ag,56,1,
,,visual-after,0.04,0.75,9,6,squashed,0.3023224000353366,248,ag,56,1,
,,visual-after,0.04,1.5,3,3,stretched,0.27180950017645955,292,ag,56,1,
,,visual-after,0.04,1.25,4,3,stretched,0.4113054000772536,317,ag,56,1,
,,visual-after,0.04,0.75,5,3,stretched,0.49626859999261796,226,ag,56,1,
,,visual-after,0.04,0.5,3,6,squashed,0.3071113000623882,305,ag,56,1,
,,visual-after,0.04,1,7,6,squashed,0.317183000035584,286,ag,56,1,
,,visual-after,0.04,1,9,6,squashed,0.3597161998040974,245,ag,56,1,
,,visual-after,0.04,1.5,0,3,stretched,0.4952976999338716,283,ag,56,1,
,,visual-after,0.04,1.5,2,3,stretched,0.5863949998747557,260,ag,56,1,
,,visual-after,0.04,1,8,6,squashed,0.4170514000579715,264,ag,56,1,
,,visual-after,0.04,0.5,5,6,squashed,0.4736947000492364,255,ag,56,1,
,,visual-after,0.04,1.5,5,3,stretched,0.4323414000682533,268,ag,56,1,
,,visual-after,0.04,1.5,6,3,stretched,0.594891499960795,233,ag,56,1,
,,visual-after,0.04,0.5,6,6,squashed,0.38164969999343157,274,ag,56,1,
,,visual-after,0.04,0.5,7,6,squashed,0.3593754000030458,255,ag,56,1,
,,visual-after,0.04,1,2,3,stretched,0.28265700000338256,271,ag,56,1,
,,visual-after,0.04,0.5,4,6,squashed,0.18804970011115074,259,ag,56,1,
,,visual-after,0.04,1,4,3,stretched,0.3518087000120431,222,ag,56,1,
,,visual-after,0.04,1.5,1,3,stretched,0.41153269982896745,276,ag,56,1,
,,visual-after,0.04,0.75,0,6,squashed,0.3433558999095112,226,ag,56,1,
,,visual-after,0.04,1,6,6,squashed,0.37995580001734197,235,ag,56,1,
,,visual-after,0.04,0.75,1,6,squashed,0.5562913999892771,253,ag,56,1,
,,visual-after,0.04,1.25,0,3,stretched,0.3972853000741452,269,ag,56,1,
,,visual-after,0.04,0.75,4,6,squashed,0.6086989999748766,232,ag,56,1,
