thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,1,0,0.04,0.5,0,6,squashed,5.045094799948856,222,ag,56,1,
,,visual-haptic,3,1,0.04,0.75,3,3,stretched,2.4512223000638187,307,ag,56,1,
,,visual-haptic,3,0,0.04,1.25,1,3,stretched,2.3722737999632955,315,ag,56,1,
,,visual-haptic,1,2,0.04,1.5,0,3,stretched,1.5214746999554336,268,ag,56,1,
,,visual-haptic,1,2,0.04,0.5,0,6,squashed,2.051026600180194,232,ag,56,1,
,,visual-haptic,1,0,0.04,0.75,3,3,stretched,2.0583836000878364,271,ag,56,1,
,,visual-haptic,0,2,0.04,0.5,2,6,squashed,2.3087805998511612,264,ag,56,1,
,,visual-haptic,0,1,0.04,1,0,3,stretched,2.364439900033176,288,ag,56,1,
,,visual-haptic,1,2,0.04,1.25,0,3,stretched,1.9178843998815864,259,ag,56,1,
,,visual-haptic,1,2,0.04,1,1,3,stretched,1.390594899887219,231,ag,56,1,
,,visual-haptic,3,0,0.04,0.75,3,3,stretched,1.9885654000099748,260,ag,56,1,
,,visual-haptic,3,2,0.04,1.25,2,3,stretched,1.5646895000245422,247,ag,56,1,
,,visual-haptic,3,1,0.04,1,2,3,stretched,2.318478399887681,320,ag,56,1,
,,visual-haptic,3,1,0.04,1,3,3,stretched,1.7999453998636454,319,ag,56,1,
,,visual-haptic,0,0,0.04,1.25,0,3,stretched,1.8502764999866486,283,ag,56,1,
,,visual-haptic,1,0,0.04,1.25,2,3,stretched,1.702157599851489,285,ag,56,1,
,,visual-haptic,3,0,0.04,1.25,2,3,stretched,1.5860460998956114,260,ag,56,1,
,,visual-haptic,1,1,0.04,1.5,2,3,stretched,2.131087000016123,312,ag,56,1,
,,visual-haptic,0,0,0.04,1.5,1,3,stretched,2.1621052999980748,243,ag,56,1,
,,visual-haptic,1,1,0.04,1.25,2,3,stretched,1.6819144000764936,276,ag,56,1,
,,visual-haptic,0,2,0.04,1,3,6,squashed,2.0479775997810066,269,ag,56,1,
,,visual-haptic,3,0,0.04,1,3,3,stretched,3.3435159001965076,283,ag,56,1,
,,visual-haptic,3,0,0.04,1.5,1,3,stretched,1.9921815998386592,288,ag,56,1,
,,visual-haptic,0,2,0.04,0.5,3,6,squashed,1.5871423000935465,266,ag,56,1,
,,visual-haptic,1,0,0.04,1.25,1,6,squashed,2.197014099918306,272,ag,56,1,
,,visual-haptic,0,2,0.04,1.5,0,3,stretched,1.5235242000781,256,ag,56,1,
,,visual-haptic,0,2,0.04,1.5,3,3,stretched,1.6402605001349002,263,ag,56,1,
,,visual-haptic,3,2,0.04,1.5,1,3,stretched,1.8242776000406593,253,ag,56,1,
,,visual-haptic,1,0,0.04,1.25,0,6,squashed,1.5821673998143524,263,ag,56,1,
,,visual-haptic,1,0,0.04,1,0,6,squashed,1.6925294999964535,276,ag,56,1,
,,visual-haptic,1,2,0.04,0.75,1,6,squashed,1.9970656000077724,285,ag,56,1,
,,visual-haptic,3,1,0.04,0.75,2,6,squashed,1.479086099890992,319,ag,56,1,
,,visual-haptic,0,2,0.04,1.25,3,6,squashed,1.6978653999976814,245,ag,56,1,
,,visual-haptic,0,0,0.04,1.5,0,3,stretched,1.4930529999546707,275,ag,56,1,
,,visual-haptic,3,0,0.04,1.5,2,3,stretched,2.1776862000115216,325,ag,56,1,
,,visual-haptic,3,2,0.04,1,0,6,squashed,2.357500699814409,202,ag,56,1,
,,visual-haptic,0,1,0.04,1.25,0,6,squashed,2.5430113999173045,272,ag,56,1,
,,visual-haptic,1,1,0.04,1.25,0,6,squashed,2.7271311001386493,279,ag,56,1,
,,visual-haptic,3,1,0.04,1.25,3,3,stretched,1.8783724000677466,252,ag,56,1,
,,visual-haptic,1,2,0.04,0.5,1,6,squashed,0.9316324999090284,221,ag,56,1,
,,visual-haptic,3,1,0.04,0.75,0,6,squashed,0.7478215000592172,256,ag,56,1,
,,visual-haptic,3,1,0.04,1.5,2,6,squashed,1.3925916000735015,260,ag,56,1,
,,visual-haptic,3,1,0.04,0.5,1,6,squashed,1.1179708999115974,264,ag,56,1,
,,visual-haptic,1,2,0.04,0.5,2,6,squashed,0.8594638998620212,229,ag,56,1,
,,visual-haptic,0,1,0.04,0.75,1,6,squashed,1.3787742001004517,279,ag,56,1,
,,visual-haptic,1,1,0.04,1,3,6,squashed,1.2358703999780118,333,ag,56,1,
,,visual-haptic,1,1,0.04,0.75,3,6,squashed,0.9292269998695701,309,ag,56,1,
,,visual-haptic,0,0,0.04,0.75,3,6,squashed,1.4752710999455303,269,ag,56,1,
,,visual-haptic,1,1,0.04,1.5,0,3,stretched,0.9090358999092132,327,ag,56,1,
,,visual-haptic,3,1,0.04,0.5,2,6,squashed,1.2913881000131369,311,ag,56,1,
,,visual-haptic,0,0,0.04,0.75,0,6,squashed,1.4910478999372572,255,ag,56,1,
,,visual-haptic,3,2,0.04,0.75,0,6,squashed,1.0090057998895645,241,ag,56,1,
,,visual-haptic,0,1,0.04,1.25,3,3,stretched,0.9128034000750631,293,ag,56,1,
,,visual-haptic,3,0,0.04,1,2,3,stretched,0.5749499001540244,269,ag,56,1,
,,visual-haptic,0,0,0.04,1.25,3,3,stretched,0.8977567001711577,290,ag,56,1,
,,visual-haptic,3,0,0.04,0.5,3,6,squashed,0.7702160999178886,270,ag,56,1,
,,visual-haptic,0,2,0.04,0.5,0,6,squashed,0.725780599983409,234,ag,56,1,
,,visual-haptic,0,1,0.04,1.25,1,3,stretched,0.38394690002314746,316,ag,56,1,
,,visual-haptic,1,2,0.04,1,3,3,stretched,0.5858638000208884,265,ag,56,1,
,,visual-haptic,3,2,0.04,0.5,1,6,squashed,1.138247000053525,282,ag,56,1,
,,visual-haptic,1,0,0.04,0.5,2,6,squashed,0.8732951998244971,251,ag,56,1,
,,visual-haptic,3,0,0.04,1.5,3,3,stretched,0.8708723997697234,282,ag,56,1,
,,visual-haptic,0,1,0.04,1,3,3,stretched,1.2452940000221133,296,ag,56,1,
,,visual-haptic,0,2,0.04,1,0,3,stretched,0.7181657999753952,199,ag,56,1,
,,visual-haptic,1,2,0.04,0.75,0,3,stretched,1.2945787000935525,276,ag,56,1,
,,visual-haptic,1,0,0.04,0.5,1,6,squashed,0.9245134999509901,297,ag,56,1,
,,visual-haptic,0,2,0.04,1.5,1,3,stretched,0.8249892999883741,248,ag,56,1,
