thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-only,0.04,1.5,3,3,stretched,9.569733700016513,263,ag,56,1,
,,visual-only,0.04,1.25,5,3,stretched,3.0413851998746395,243,ag,56,1,
,,visual-only,0.04,0.75,9,6,squashed,0.6477374001406133,287,ag,56,1,
,,visual-only,0.04,0.75,3,3,stretched,2.295370100066066,255,ag,56,1,
,,visual-only,0.04,0.75,1,3,stretched,2.244648100109771,299,ag,56,1,
,,visual-only,0.04,1.25,0,3,stretched,18.82078339997679,229,ag,56,1,
,,visual-only,0.04,1.25,3,3,stretched,0.8041528000030667,257,ag,56,1,
,,visual-only,0.04,0.75,8,3,stretched,0.5984736999962479,243,ag,56,1,
,,visual-only,0.04,1.5,4,6,squashed,1.0721593000926077,256,ag,56,1,
,,visual-only,0.04,0.5,7,6,squashed,0.5333543000742793,245,ag,56,1,
,,visual-only,0.04,0.75,7,6,squashed,0.3836888000369072,242,ag,56,1,
,,visual-only,0.04,0.5,9,6,squashed,1.6059125000610948,295,ag,56,1,
,,visual-only,0.04,0.5,4,6,squashed,1.0122226998209953,281,ag,56,1,
,,visual-only,0.04,1,7,3,stretched,1.6048525001388043,280,ag,56,1,
,,visual-only,0.04,0.5,0,3,stretched,0.7216883997898549,265,ag,56,1,
,,visual-only,0.04,1,2,3,stretched,0.6300218000542372,233,ag,56,1,
,,visual-only,0.04,1,4,3,stretched,0.7744372000452131,232,ag,56,1,
,,visual-only,0.04,1.5,2,6,squashed,0.7470978000201285,270,ag,56,1,
,,visual-only,0.04,1,9,3,stretched,1.1562139000743628,249,ag,56,1,
,,visual-only,0.04,1.5,8,6,squashed,1.40406410000287,287,ag,56,1,
,,visual-only,0.04,1,5,6,squashed,0.4653388001024723,279,ag,56,1,
,,visual-only,0.04,1.25,4,6,squashed,0.6844184000510722,318,ag,56,1,
,,visual-only,0.04,0.75,2,6,squashed,0.6506796998437494,247,ag,56,1,
,,visual-only,0.04,1.25,8,6,squashed,0.7016877001151443,253,ag,56,1,
,,visual-only,0.04,1,0,6,squashed,0.8583416000474244,250,ag,56,1,
,,visual-only,0.04,0.5,6,6,squashed,1.1273189999628812,228,ag,56,1,
,,visual-only,0.04,0.5,2,6,squashed,0.7670526001602411,306,ag,56,1,
,,visual-only,0.04,1.5,9,6,squashed,1.3235093001276255,257,ag,56,1,
,,visual-only,0.04,1.5,6,6,squashed,1.162862699944526,310,ag,56,1,
,,visual-only,0.04,1,3,6,squashed,0.9169115000404418,285,ag,56,1,
,,visual-only,0.04,0.75,0,6,squashed,1.0514424000866711,244,ag,56,1,
,,visual-only,0.04,1.5,5,6,squashed,1.0309598001185805,279,ag,56,1,
,,visual-only,0.04,0.5,8,6,squashed,0.6411053999327123,246,ag,56,1,
,,visual-only,0.04,1.5,0,3,stretched,0.9020126999821514,257,ag,56,1,
,,visual-only,0.04,0.75,5,3,stretched,0.8086005998775363,267,ag,56,1,
,,visual-only,0.04,1,8,6,squashed,0.6632813999895006,283,ag,56,1,
,,visual-only,0.04,0.75,6,6,squashed,0.4082756999414414,262,ag,56,1,
,,visual-only,0.04,0.75,4,3,stretched,2.659688299987465,253,ag,56,1,
,,visual-only,0.04,1.25,1,3,stretched,0.8034689999185503,306,ag,56,1,
,,visual-only,0.04,1,1,3,stretched,1.2951285000890493,256,ag,56,1,
,,visual-only,0.04,0.5,3,6,squashed,0.6461771999020129,251,ag,56,1,
,,visual-only,0.04,0.5,5,6,squashed,0.6758870999328792,271,ag,56,1,
,,visual-only,0.04,1.5,7,6,squashed,0.9377702998463064,297,ag,56,1,
,,visual-only,0.04,1.5,1,6,squashed,0.5440605999901891,285,ag,56,1,
,,visual-only,0.04,1,6,6,squashed,0.8373338999226689,256,ag,56,1,
,,visual-only,0.04,0.5,1,6,squashed,0.6564421998336911,251,ag,56,1,
,,visual-only,0.04,1.25,9,3,stretched,1.5978335000108927,236,ag,56,1,
,,visual-only,0.04,1.25,7,3,stretched,0.891863000113517,298,ag,56,1,
,,visual-only,0.04,1.25,2,3,stretched,2.705393800046295,256,ag,56,1,
,,visual-only,0.04,1.25,6,3,stretched,1.2697544998954982,289,ag,56,1,
