thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,1,0,3,stretched,7.9409462998155504,1,cb,56,1,
,,haptic-only,0.04,1.5,1,3,stretched,6.154358200030401,0,cb,56,1,
,,haptic-only,0.04,1.5,3,3,stretched,5.835454300045967,0,cb,56,1,
,,haptic-only,0.04,1.5,0,6,squashed,7.060380399925634,0,cb,56,1,
,,haptic-only,0.04,1.25,3,6,squashed,3.918933100067079,1,cb,56,1,
,,haptic-only,0.04,1,1,6,squashed,5.390561999985948,1,cb,56,1,
,,haptic-only,0.04,1.5,2,3,stretched,1.7198860999196768,0,cb,56,1,
,,haptic-only,0.04,0.75,1,6,squashed,2.6754511001054198,1,cb,56,1,
,,haptic-only,0.04,1.25,2,3,stretched,2.987995200091973,1,cb,56,1,
,,haptic-only,0.04,1,2,6,squashed,1.6182854999788105,0,cb,56,1,
,,haptic-only,0.04,0.5,1,6,squashed,0.051439000060781837,0,cb,56,1,
,,haptic-only,0.04,0.5,2,6,squashed,0.6813549001235515,0,cb,56,1,
,,haptic-only,0.04,0.5,3,6,squashed,0.5923367000650615,1,cb,56,1,
,,haptic-only,0.04,0.75,0,6,squashed,0.569083500187844,1,cb,56,1,
,,haptic-only,0.04,0.5,0,6,squashed,0.09762730007059872,0,cb,56,1,
,,haptic-only,0.04,0.75,3,6,squashed,0.22669799998402596,0,cb,56,1,
,,haptic-only,0.04,1.25,1,6,squashed,3.5877952000591904,1,cb,56,1,
,,haptic-only,0.04,0.75,2,6,squashed,0.43073990009725094,1,cb,56,1,
,,haptic-only,0.04,1.25,0,3,stretched,0.9616169000510126,0,cb,56,1,
,,haptic-only,0.04,1,3,6,squashed,2.4926734999753535,1,cb,56,1,
