thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,1,2,0.04,1,0,3,stretched,4.2430896000005305,265,cb,56,1,
,,visual-haptic,1,2,0.04,0.5,3,6,squashed,1.9834141000173986,229,cb,56,1,
,,visual-haptic,0,1,0.04,0.75,2,6,squashed,3.000937000149861,299,cb,56,1,
,,visual-haptic,3,2,0.04,1.25,1,3,stretched,3.067659799940884,239,cb,56,1,
,,visual-haptic,0,0,0.04,0.5,1,6,squashed,1.6160177998244762,262,cb,56,1,
,,visual-haptic,1,1,0.04,1,1,6,squashed,2.1349969999864697,306,cb,56,1,
,,visual-haptic,3,1,0.04,0.5,0,6,squashed,0.8820766001008451,317,cb,56,1,
,,visual-haptic,1,2,0.04,1,3,3,stretched,1.3436867001000792,244,cb,56,1,
,,visual-haptic,0,1,0.04,1,3,3,stretched,1.8244233999866992,298,cb,56,1,
,,visual-haptic,0,2,0.04,0.75,1,6,squashed,0.47462889994494617,232,cb,56,1,
,,visual-haptic,0,0,0.04,0.5,3,6,squashed,0.8388817000668496,267,cb,56,1,
,,visual-haptic,3,2,0.04,1,1,3,stretched,1.9059301000088453,226,cb,56,1,
,,visual-haptic,0,1,0.04,1.25,2,3,stretched,1.4903746999334544,319,cb,56,1,
,,visual-haptic,1,2,0.04,1.5,3,3,stretched,1.5236040998715907,270,cb,56,1,
,,visual-haptic,3,0,0.04,0.5,1,6,squashed,0.6484895998146385,225,cb,56,1,
,,visual-haptic,0,2,0.04,1,1,3,stretched,2.021781399846077,232,cb,56,1,
,,visual-haptic,0,1,0.04,1,0,3,stretched,3.161034099990502,300,cb,56,1,
,,visual-haptic,1,1,0.04,0.5,0,6,squashed,0.6795932999812067,270,cb,56,1,
,,visual-haptic,1,1,0.04,1,2,3,stretched,0.12140379985794425,298,cb,56,1,
,,visual-haptic,1,2,0.04,1.5,2,3,stretched,0.017333899857476354,228,cb,56,1,
,,visual-haptic,1,2,0.04,1.25,2,3,stretched,0.21884200000204146,240,cb,56,1,
,,visual-haptic,0,0,0.04,1.5,0,3,stretched,0.03263629996217787,268,cb,56,1,
,,visual-haptic,1,2,0.04,0.75,3,6,squashed,1.6835263001266867,218,cb,56,1,
,,visual-haptic,1,1,0.04,0.75,2,6,squashed,7.420549300033599,296,cb,56,1,
,,visual-haptic,0,0,0.04,0.75,1,6,squashed,0.16898529999889433,277,cb,56,1,
,,visual-haptic,0,0,0.04,1.5,3,3,stretched,2.4957779000978917,234,cb,56,1,
,,visual-haptic,3,0,0.04,1.5,0,3,stretched,3.7235816000029445,241,cb,56,1,
,,visual-haptic,3,0,0.04,1.5,2,3,stretched,0.7525520999915898,264,cb,56,1,
,,visual-haptic,1,0,0.04,0.75,1,6,squashed,0.5372744000051171,266,cb,56,1,
,,visual-haptic,0,0,0.04,1.25,2,3,stretched,0.2700376999564469,256,cb,56,1,
,,visual-haptic,0,0,0.04,1,3,3,stretched,0.9344048998318613,241,cb,56,1,
,,visual-haptic,3,1,0.04,1.25,1,3,stretched,0.617734800092876,278,cb,56,1,
,,visual-haptic,3,1,0.04,1.5,1,3,stretched,0.7256233000662178,292,cb,56,1,
,,visual-haptic,0,2,0.04,0.5,0,6,squashed,0.7470770000945777,252,cb,56,1,
,,visual-haptic,3,2,0.04,1.5,1,3,stretched,0.5070948000065982,240,cb,56,1,
,,visual-haptic,1,0,0.04,1,0,3,stretched,1.8473107998725027,277,cb,56,1,
,,visual-haptic,3,0,0.04,1.25,1,6,squashed,5.495914499973878,261,cb,56,1,
,,visual-haptic,0,1,0.04,1,1,3,stretched,0.42198200011625886,333,cb,56,1,
,,visual-haptic,0,1,0.04,0.5,0,6,squashed,0.01223550015129149,274,cb,56,1,
,,visual-haptic,0,2,0.04,1.25,2,3,stretched,2.470113300019875,227,cb,56,1,
,,visual-haptic,3,0,0.04,1.25,0,3,stretched,0.3774574000854045,281,cb,56,1,
,,visual-haptic,3,1,0.04,1,2,3,stretched,0.7584323999471962,312,cb,56,1,
,,visual-haptic,3,0,0.04,0.5,0,6,squashed,5.436021500034258,302,cb,56,1,
,,visual-haptic,0,2,0.04,0.5,2,6,squashed,4.296863100025803,275,cb,56,1,
,,visual-haptic,0,2,0.04,1.5,0,3,stretched,0.66309820022434,246,cb,56,1,
,,visual-haptic,3,0,0.04,0.75,3,6,squashed,0.22905620001256466,267,cb,56,1,
,,visual-haptic,0,2,0.04,1.5,1,3,stretched,0.5177209000103176,279,cb,56,1,
,,visual-haptic,0,0,0.04,0.5,2,6,squashed,5.132695300038904,278,cb,56,1,
,,visual-haptic,3,2,0.04,1,2,3,stretched,0.44145400007255375,230,cb,56,1,
,,visual-haptic,0,2,0.04,1.5,2,3,stretched,1.0616021000314504,252,cb,56,1,
,,visual-haptic,1,2,0.04,1,1,3,stretched,1.22923759999685,236,cb,56,1,
,,visual-haptic,3,1,0.04,1,0,3,stretched,0.4746423999313265,353,cb,56,1,
,,visual-haptic,1,2,0.04,0.75,2,3,stretched,2.9356987001374364,228,cb,56,1,
,,visual-haptic,0,2,0.04,0.75,2,6,squashed,0.08012120006605983,240,cb,56,1,
,,visual-haptic,3,0,0.04,0.75,2,6,squashed,3.698295900132507,232,cb,56,1,
,,visual-haptic,1,1,0.04,1,0,3,stretched,0.247076699975878,294,cb,56,1,
,,visual-haptic,1,1,0.04,1.25,3,3,stretched,1.6943899001926184,331,cb,56,1,
,,visual-haptic,3,2,0.04,1,3,3,stretched,0.8671262999996543,232,cb,56,1,
,,visual-haptic,0,0,0.04,1,0,3,stretched,0.06724820006638765,243,cb,56,1,
,,visual-haptic,1,0,0.04,0.5,0,6,squashed,1.8481053998693824,261,cb,56,1,
,,visual-haptic,3,2,0.04,0.75,1,6,squashed,0.7544969001319259,279,cb,56,1,
,,visual-haptic,0,0,0.04,0.75,0,6,squashed,0.03755000000819564,267,cb,56,1,
,,visual-haptic,3,0,0.04,0.5,3,6,squashed,0.6037288000807166,253,cb,56,1,
,,visual-haptic,0,1,0.04,0.5,1,6,squashed,0.9127150001004338,297,cb,56,1,
,,visual-haptic,3,1,0.04,1.5,2,3,stretched,0.3340821999590844,272,cb,56,1,
,,visual-haptic,3,0,0.04,1,2,3,stretched,0.024276399984955788,250,cb,56,1,
,,visual-haptic,0,0,0.04,1,2,3,stretched,1.447668300010264,263,cb,56,1,
,,visual-haptic,1,2,0.04,1.25,1,3,stretched,0.27268199995160103,250,cb,56,1,
,,visual-haptic,1,0,0.04,1,3,3,stretched,0.2682646999601275,213,cb,56,1,
,,visual-haptic,3,0,0.04,0.75,1,6,squashed,0.6246896998491138,264,cb,56,1,
,,visual-haptic,0,2,0.04,0.75,3,6,squashed,0.1190867000259459,232,cb,56,1,
,,visual-haptic,3,1,0.04,0.75,1,6,squashed,1.6613134001381695,275,cb,56,1,
,,visual-haptic,0,2,0.04,1,2,3,stretched,0.25172759988345206,247,cb,56,1,
,,visual-haptic,3,2,0.04,1.5,3,3,stretched,0.23770439997315407,218,cb,56,1,
,,visual-haptic,0,1,0.04,1.5,0,3,stretched,0.4322558999992907,299,cb,56,1,
,,visual-haptic,3,0,0.04,1.25,3,3,stretched,0.5924698999151587,262,cb,56,1,
,,visual-haptic,1,0,0.04,1.25,3,3,stretched,0.21881690016016364,290,cb,56,1,
,,visual-haptic,1,2,0.04,1.25,0,3,stretched,0.1329631998669356,235,cb,56,1,
,,visual-haptic,3,0,0.04,1.5,1,3,stretched,1.3783247999381274,243,cb,56,1,
,,visual-haptic,3,2,0.04,1.5,2,3,stretched,2.064289200119674,247,cb,56,1,
,,visual-haptic,1,1,0.04,0.75,1,6,squashed,1.085748199839145,297,cb,56,1,
,,visual-haptic,3,2,0.04,0.75,3,6,squashed,0.42251749988645315,227,cb,56,1,
,,visual-haptic,3,1,0.04,0.5,3,6,squashed,3.298551500076428,312,cb,56,1,
,,visual-haptic,3,1,0.04,1.25,0,3,stretched,1.1327160999644548,360,cb,56,1,
,,visual-haptic,3,1,0.04,1.25,3,3,stretched,1.0650683001149446,324,cb,56,1,
,,visual-haptic,1,1,0.04,0.5,2,6,squashed,0.48957169987261295,317,cb,56,1,
,,visual-haptic,3,0,0.04,1.25,2,6,squashed,1.6662196998950094,255,cb,56,1,
