thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-after,0.04,0.75,7,3,stretched,6.410541399847716,267,cb,56,1,
,,visual-after,0.04,1.25,9,6,squashed,4.312561900122091,218,cb,56,1,
,,visual-after,0.04,1,6,6,squashed,1.0673812001477927,237,cb,56,1,
,,visual-after,0.04,1.5,3,6,squashed,1.1822405001148582,265,cb,56,1,
,,visual-after,0.04,0.5,1,3,stretched,0.4344573998823762,272,cb,56,1,
,,visual-after,0.04,1.5,2,6,squashed,0.8555690001230687,231,cb,56,1,
,,visual-after,0.04,0.5,4,6,squashed,0.4546304000541568,226,cb,56,1,
,,visual-after,0.04,0.5,6,6,squashed,0.36252139997668564,195,cb,56,1,
,,visual-after,0.04,1.5,1,6,squashed,1.1358349998481572,236,cb,56,1,
,,visual-after,0.04,1.25,0,6,squashed,0.07083890005014837,259,cb,56,1,
,,visual-after,0.04,1.5,5,6,squashed,0.5772790999617428,239,cb,56,1,
,,visual-after,0.04,0.5,0,6,squashed,0.005323200020939112,244,cb,56,1,
,,visual-after,0.04,1.5,7,6,squashed,2.031293800100684,196,cb,56,1,
,,visual-after,0.04,0.5,9,3,stretched,0.4223362000193447,306,cb,56,1,
,,visual-after,0.04,0.5,2,6,squashed,0.390407299855724,264,cb,56,1,
,,visual-after,0.04,0.75,0,3,stretched,0.38892489997670054,248,cb,56,1,
,,visual-after,0.04,1.5,9,6,squashed,0.3804315999150276,215,cb,56,1,
,,visual-after,0.04,1.5,0,6,squashed,0.31182190007530153,232,cb,56,1,
,,visual-after,0.04,1.5,4,6,squashed,0.16195750003680587,243,cb,56,1,
,,visual-after,0.04,0.75,8,3,stretched,0.26503219990991056,256,cb,56,1,
,,visual-after,0.04,1.25,7,6,squashed,1.6184854998718947,255,cb,56,1,
,,visual-after,0.04,1,8,6,squashed,2.2282670999411494,260,cb,56,1,
,,visual-after,0.04,0.5,5,3,stretched,0.27395510021597147,268,cb,56,1,
,,visual-after,0.04,1.5,6,3,stretched,0.2881103998515755,259,cb,56,1,
,,visual-after,0.04,0.5,3,3,stretched,0.27817229996435344,269,cb,56,1,
,,visual-after,0.04,0.75,1,6,squashed,0.31150930002331734,265,cb,56,1,
,,visual-after,0.04,1,7,6,squashed,0.3090374998282641,251,cb,56,1,
,,visual-after,0.04,1.25,1,6,squashed,0.23929079994559288,249,cb,56,1,
,,visual-after,0.04,0.5,8,3,stretched,0.19040760002098978,216,cb,56,1,
,,visual-after,0.04,0.75,5,3,stretched,0.21106569981202483,249,cb,56,1,
,,visual-after,0.04,0.5,7,3,stretched,0.006924400106072426,274,cb,56,1,
,,visual-after,0.04,1,3,3,stretched,0.23702319990843534,219,cb,56,1,
,,visual-after,0.04,1,9,6,squashed,0.20292079984210432,232,cb,56,1,
,,visual-after,0.04,1,4,3,stretched,0.11783590004779398,219,cb,56,1,
,,visual-after,0.04,0.75,4,3,stretched,0.035412800032645464,219,cb,56,1,
,,visual-after,0.04,0.75,2,6,squashed,0.4388343000318855,220,cb,56,1,
,,visual-after,0.04,1.25,2,6,squashed,0.21737880003638566,238,cb,56,1,
,,visual-after,0.04,1.25,6,6,squashed,0.18159759999252856,258,cb,56,1,
,,visual-after,0.04,1.25,5,3,stretched,0.2530259999912232,236,cb,56,1,
,,visual-after,0.04,1.5,8,6,squashed,0.08905739989131689,254,cb,56,1,
,,visual-after,0.04,1.25,4,3,stretched,0.22290869988501072,259,cb,56,1,
,,visual-after,0.04,1,2,6,squashed,0.21707329992204905,225,cb,56,1,
,,visual-after,0.04,1,0,3,stretched,0.2898071000818163,231,cb,56,1,
,,visual-after,0.04,1.25,8,3,stretched,0.37925140000879765,232,cb,56,1,
,,visual-after,0.04,0.75,6,6,squashed,0.49249839992262423,247,cb,56,1,
,,visual-after,0.04,0.75,9,6,squashed,0.32604210008867085,233,cb,56,1,
,,visual-after,0.04,1.25,3,3,stretched,0.8126408001407981,256,cb,56,1,
,,visual-after,0.04,0.75,3,3,stretched,0.5386862000450492,256,cb,56,1,
,,visual-after,0.04,1,5,6,squashed,0.3282618001103401,205,cb,56,1,
,,visual-after,0.04,1,1,6,squashed,0.10824189987033606,265,cb,56,1,
