thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,1.5,2,6,squashed,10.690560800023377,0,ep,56,1,
,,haptic-only,0.04,1.25,0,3,stretched,2.5475220000371337,1,ep,56,1,
,,haptic-only,0.04,1,0,6,squashed,1.3416467001661658,1,ep,56,1,
,,haptic-only,0.04,0.75,0,6,squashed,0.8796900000888854,0,ep,56,1,
,,haptic-only,0.04,0.5,0,6,squashed,3.8299952000379562,0,ep,56,1,
,,haptic-only,0.04,1,2,3,stretched,1.0272550000809133,1,ep,56,1,
,,haptic-only,0.04,0.5,2,6,squashed,1.0667662001214921,1,ep,56,1,
,,haptic-only,0.04,1.25,1,3,stretched,0.7814135998487473,1,ep,56,1,
,,haptic-only,0.04,1.5,0,3,stretched,1.0907409000210464,0,ep,56,1,
,,haptic-only,0.04,1.5,3,3,stretched,0.5978538000490516,0,ep,56,1,
,,haptic-only,0.04,1,3,3,stretched,0.4086303999647498,0,ep,56,1,
,,haptic-only,0.04,0.5,1,6,squashed,0.7653342999983579,0,ep,56,1,
,,haptic-only,0.04,0.75,1,6,squashed,0.9804038000293076,1,ep,56,1,
,,haptic-only,0.04,0.75,2,6,squashed,0.25305980001576245,0,ep,56,1,
,,haptic-only,0.04,1.25,3,3,stretched,0.6798958999570459,1,ep,56,1,
,,haptic-only,0.04,1.5,1,3,stretched,0.8496544999070466,1,ep,56,1,
,,haptic-only,0.04,1,1,6,squashed,0.3484561999794096,1,ep,56,1,
,,haptic-only,0.04,0.5,3,6,squashed,0.5118867000564933,1,ep,56,1,
,,haptic-only,0.04,0.75,3,6,squashed,0.43092490010894835,0,ep,56,1,
,,haptic-only,0.04,1.25,2,3,stretched,0.4507241998799145,1,ep,56,1,
