thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-after,0.04,0.5,8,6,squashed,0.3784933998249471,239,ep,56,1,
,,visual-after,0.04,0.75,8,3,stretched,1.4714903000276536,222,ep,56,1,
,,visual-after,0.04,1,4,3,stretched,0.36125800013542175,281,ep,56,1,
,,visual-after,0.04,1.5,5,3,stretched,0.24213130003772676,307,ep,56,1,
,,visual-after,0.04,1,8,3,stretched,0.3390685999765992,281,ep,56,1,
,,visual-after,0.04,1.25,2,3,stretched,0.1793990998994559,246,ep,56,1,
,,visual-after,0.04,1.25,3,3,stretched,0.2293756001163274,253,ep,56,1,
,,visual-after,0.04,1.25,5,6,squashed,0.6644882999826223,246,ep,56,1,
,,visual-after,0.04,1,7,6,squashed,0.27158619998954237,246,ep,56,1,
,,visual-after,0.04,0.5,3,3,stretched,0.288414099952206,306,ep,56,1,
,,visual-after,0.04,0.5,1,3,stretched,0.25170709984377027,255,ep,56,1,
,,visual-after,0.04,1,2,3,stretched,0.23984419996850193,258,ep,56,1,
,,visual-after,0.04,0.75,6,6,squashed,0.25046949996612966,276,ep,56,1,
,,visual-after,0.04,0.75,4,6,squashed,0.5410695001482964,252,ep,56,1,
,,visual-after,0.04,1.25,6,3,stretched,0.3910722001455724,219,ep,56,1,
,,visual-after,0.04,0.5,5,6,squashed,0.22970819985494018,234,ep,56,1,
,,visual-after,0.04,1,1,6,squashed,0.49185970006510615,245,ep,56,1,
,,visual-after,0.04,0.75,3,6,squashed,0.8626371000427753,238,ep,56,1,
,,visual-after,0.04,1.25,4,3,stretched,0.3533808998763561,270,ep,56,1,
,,visual-after,0.04,0.75,7,6,squashed,0.2599653999786824,230,ep,56,1,
,,visual-after,0.04,0.75,2,6,squashed,0.20699310000054538,273,ep,56,1,
,,visual-after,0.04,1.25,8,3,stretched,0.6335757998749614,247,ep,56,1,
,,visual-after,0.04,1.5,3,3,stretched,0.5869561999570578,231,ep,56,1,
,,visual-after,0.04,1.5,8,3,stretched,0.3254251000471413,257,ep,56,1,
,,visual-after,0.04,0.5,4,6,squashed,0.19001860008575022,261,ep,56,1,
,,visual-after,0.04,1.5,7,3,stretched,0.2088768999092281,283,ep,56,1,
,,visual-after,0.04,0.75,5,6,squashed,0.25036150007508695,254,ep,56,1,
,,visual-after,0.04,1.25,9,3,stretched,0.2070230001118034,248,ep,56,1,
,,visual-after,0.04,0.5,2,6,squashed,0.15555399982258677,260,ep,56,1,
,,visual-after,0.04,0.5,9,3,stretched,0.6670923000201583,272,ep,56,1,
,,visual-after,0.04,1.25,7,3,stretched,0.2456647998187691,252,ep,56,1,
,,visual-after,0.04,1.25,1,6,squashed,0.743654299993068,263,ep,56,1,
,,visual-after,0.04,1.5,0,3,stretched,0.5191250999923795,278,ep,56,1,
,,visual-after,0.04,0.75,1,6,squashed,0.2627673998940736,250,ep,56,1,
,,visual-after,0.04,1,0,6,squashed,0.23024980002082884,224,ep,56,1,
,,visual-after,0.04,1,6,6,squashed,0.310871500056237,268,ep,56,1,
,,visual-after,0.04,0.75,0,6,squashed,0.12557319994084537,273,ep,56,1,
,,visual-after,0.04,0.75,9,6,squashed,0.28084839996881783,258,ep,56,1,
,,visual-after,0.04,1.5,2,3,stretched,0.21616940014064312,239,ep,56,1,
,,visual-after,0.04,0.5,0,6,squashed,0.18930720002390444,215,ep,56,1,
,,visual-after,0.04,0.5,7,6,squashed,0.24652939988300204,240,ep,56,1,
,,visual-after,0.04,1.5,9,3,stretched,0.19150449987500906,234,ep,56,1,
,,visual-after,0.04,1,9,6,squashed,0.22967579984106123,261,ep,56,1,
,,visual-after,0.04,1.25,0,6,squashed,0.09462049999274313,257,ep,56,1,
,,visual-after,0.04,0.5,6,6,squashed,0.07256649993360043,274,ep,56,1,
,,visual-after,0.04,1,3,6,squashed,0.22670219978317618,225,ep,56,1,
,,visual-after,0.04,1.5,1,3,stretched,0.20711280009709299,301,ep,56,1,
,,visual-after,0.04,1.5,6,3,stretched,0.20441859983839095,275,ep,56,1,
,,visual-after,0.04,1,5,6,squashed,0.18381440010853112,244,ep,56,1,
,,visual-after,0.04,1.5,4,6,squashed,0.6449678000062704,256,ep,56,1,
