thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,1,2,0.04,1,2,3,stretched,2.8147732000797987,241,ep,56,1,
,,visual-haptic,3,0,0.04,0.75,0,6,squashed,1.9323991001583636,282,ep,56,1,
,,visual-haptic,1,1,0.04,0.75,1,6,squashed,2.7674302000086755,332,ep,56,1,
,,visual-haptic,1,1,0.04,0.5,2,6,squashed,1.3692654999904335,347,ep,56,1,
,,visual-haptic,1,0,0.04,1.5,1,3,stretched,1.1742138999979943,301,ep,56,1,
,,visual-haptic,3,2,0.04,1.25,2,3,stretched,1.7467505999375135,231,ep,56,1,
,,visual-haptic,1,0,0.04,1.5,2,3,stretched,1.6183782999869436,244,ep,56,1,
,,visual-haptic,3,0,0.04,0.75,1,6,squashed,1.4355971000622958,291,ep,56,1,
,,visual-haptic,3,0,0.04,1.5,2,3,stretched,1.1824817000888288,267,ep,56,1,
,,visual-haptic,1,1,0.04,1,2,3,stretched,2.3614053002092987,317,ep,56,1,
,,visual-haptic,1,1,0.04,1.25,2,3,stretched,2.3232146000955254,353,ep,56,1,
,,visual-haptic,1,2,0.04,0.75,0,6,squashed,1.9266377999447286,261,ep,56,1,
,,visual-haptic,0,2,0.04,1,3,3,stretched,1.5037390000652522,252,ep,56,1,
,,visual-haptic,0,1,0.04,0.5,1,6,squashed,1.7927149999886751,312,ep,56,1,
,,visual-haptic,1,1,0.04,1.5,1,3,stretched,1.4237593999132514,296,ep,56,1,
,,visual-haptic,1,0,0.04,0.5,0,6,squashed,1.1910792000126094,249,ep,56,1,
,,visual-haptic,1,0,0.04,0.75,0,6,squashed,1.3421345998067409,274,ep,56,1,
,,visual-haptic,3,1,0.04,0.75,2,6,squashed,1.4396693999879062,303,ep,56,1,
,,visual-haptic,1,1,0.04,1.5,0,3,stretched,1.099289699923247,302,ep,56,1,
,,visual-haptic,3,1,0.04,0.75,1,6,squashed,1.227934499969706,318,ep,56,1,
,,visual-haptic,1,0,0.04,1,2,3,stretched,1.6278985000681132,327,ep,56,1,
