thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-only,0.04,1,2,3,stretched,4.238131699850783,247,ep,56,1,
,,visual-only,0.04,1.25,5,3,stretched,0.32515030005015433,231,ep,56,1,
,,visual-only,0.04,0.75,3,3,stretched,0.45480860001407564,271,ep,56,1,
,,visual-only,0.04,1.25,2,3,stretched,0.5178561999928206,258,ep,56,1,
,,visual-only,0.04,0.75,4,3,stretched,1.3433203999884427,270,ep,56,1,
,,visual-only,0.04,0.75,8,6,squashed,0.38071139995008707,261,ep,56,1,
,,visual-only,0.04,0.5,4,3,stretched,0.37266670004464686,273,ep,56,1,
,,visual-only,0.04,1.25,7,3,stretched,0.30896489997394383,228,ep,56,1,
,,visual-only,0.04,1,7,6,squashed,1.0518478997983038,271,ep,56,1,
,,visual-only,0.04,1,1,3,stretched,0.5428764000535011,230,ep,56,1,
,,visual-only,0.04,0.5,1,6,squashed,0.316360600059852,249,ep,56,1,
,,visual-only,0.04,1.25,9,3,stretched,0.2991821998730302,344,ep,56,1,
,,visual-only,0.04,1.5,8,3,stretched,0.277419300051406,245,ep,56,1,
,,visual-only,0.04,1,0,6,squashed,0.9896788999903947,254,ep,56,1,
,,visual-only,0.04,1,6,6,squashed,0.2899964000098407,225,ep,56,1,
,,visual-only,0.04,0.5,5,6,squashed,0.2730644999537617,250,ep,56,1,
,,visual-only,0.04,0.5,7,6,squashed,1.0551711998414248,324,ep,56,1,
,,visual-only,0.04,0.75,0,3,stretched,0.37119559990242124,296,ep,56,1,
,,visual-only,0.04,0.75,1,3,stretched,0.2652255001012236,231,ep,56,1,
,,visual-only,0.04,1.25,6,3,stretched,0.32857579994015396,272,ep,56,1,
,,visual-only,0.04,1.5,9,3,stretched,0.2008680000435561,240,ep,56,1,
,,visual-only,0.04,0.5,2,3,stretched,0.30158540001139045,249,ep,56,1,
,,visual-only,0.04,1.25,1,6,squashed,0.3517839000560343,284,ep,56,1,
,,visual-only,0.04,1,9,3,stretched,0.2393227000720799,231,ep,56,1,
,,visual-only,0.04,1,5,3,stretched,0.23418810009025037,261,ep,56,1,
,,visual-only,0.04,1,3,3,stretched,0.24423319986090064,228,ep,56,1,
,,visual-only,0.04,1.5,7,3,stretched,0.8051083998288959,276,ep,56,1,
,,visual-only,0.04,1,8,6,squashed,0.8269009999930859,248,ep,56,1,
,,visual-only,0.04,0.75,5,6,squashed,2.1171657000668347,282,ep,56,1,
,,visual-only,0.04,0.75,6,3,stretched,0.33726909989491105,252,ep,56,1,
,,visual-only,0.04,1.25,3,3,stretched,0.20408920012414455,288,ep,56,1,
,,visual-only,0.04,0.5,0,6,squashed,0.25165640003979206,284,ep,56,1,
,,visual-only,0.04,1.5,3,3,stretched,0.22933050012215972,264,ep,56,1,
,,visual-only,0.04,0.5,9,3,stretched,0.4409103998914361,285,ep,56,1,
,,visual-only,0.04,0.75,2,3,stretched,0.1983888999093324,280,ep,56,1,
,,visual-only,0.04,0.5,6,6,squashed,0.9385130999144167,276,ep,56,1,
,,visual-only,0.04,0.75,9,3,stretched,0.3746682000346482,266,ep,56,1,
,,visual-only,0.04,1.25,8,3,stretched,0.30939120007678866,296,ep,56,1,
,,visual-only,0.04,1.25,0,3,stretched,0.2503120000474155,294,ep,56,1,
,,visual-only,0.04,0.5,8,6,squashed,0.9505074999760836,256,ep,56,1,
,,visual-only,0.04,1.25,4,3,stretched,0.5274288000073284,237,ep,56,1,
,,visual-only,0.04,1.5,4,6,squashed,1.2470050998963416,274,ep,56,1,
,,visual-only,0.04,1.5,1,6,squashed,0.35037890006788075,299,ep,56,1,
,,visual-only,0.04,1.5,2,3,stretched,0.2798368001822382,250,ep,56,1,
,,visual-only,0.04,1.5,6,3,stretched,0.4564720999915153,321,ep,56,1,
,,visual-only,0.04,1.5,0,3,stretched,0.2967964999843389,254,ep,56,1,
,,visual-only,0.04,1.5,5,3,stretched,0.23922389978542924,236,ep,56,1,
,,visual-only,0.04,1,4,3,stretched,0.7656575001310557,215,ep,56,1,
,,visual-only,0.04,0.5,3,6,squashed,0.5897657000459731,286,ep,56,1,
,,visual-only,0.04,0.75,7,6,squashed,0.2583680001553148,319,ep,56,1,
