thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,0.75,0,3,stretched,6.7372083000373095,1,test,56,1,
,,haptic-only,0.04,1.5,0,3,stretched,0.39755519991740584,1,test,56,1,
,,haptic-only,0.04,1.25,2,3,stretched,4.290375699987635,1,test,56,1,
,,haptic-only,0.04,1,0,3,stretched,4.490718999877572,0,test,56,1,
,,haptic-only,0.04,1,2,3,stretched,0.11228920007124543,0,test,56,1,
,,haptic-only,0.04,1,1,3,stretched,0.3165750000625849,0,test,56,1,
,,haptic-only,0.04,1.5,2,3,stretched,2.5220653999131173,1,test,56,1,
,,haptic-only,0.04,0.5,0,3,stretched,2.173799999989569,0,test,56,1,
,,haptic-only,0.04,1.5,3,3,stretched,9.646249399986118,0,test,56,1,
,,haptic-only,0.04,1,3,3,stretched,1.8101981000509113,1,test,56,1,
,,haptic-only,0.04,1.25,3,3,stretched,0.02351740002632141,1,test,56,1,
,,haptic-only,0.04,0.75,3,3,stretched,2.5976252001710236,1,test,56,1,
,,haptic-only,0.04,0.75,2,3,stretched,0.1641574001405388,0,test,56,1,
,,haptic-only,0.04,0.75,1,3,stretched,2.909373400034383,0,test,56,1,
,,haptic-only,0.04,0.5,2,3,stretched,3.361466199858114,0,test,56,1,
,,haptic-only,0.04,1.5,1,3,stretched,0.4616680000908673,0,test,56,1,
,,haptic-only,0.04,1.25,1,3,stretched,0.012179400073364377,0,test,56,1,
,,haptic-only,0.04,1.25,0,3,stretched,0.2176699999254197,0,test,56,1,
,,haptic-only,0.04,0.5,1,3,stretched,2.8177864998579025,0,test,56,1,
,,haptic-only,0.04,0.5,3,3,stretched,0.01192730013281107,1,test,56,1,
