thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-after,0.04,1,6,3,stretched,0.9966297000646591,281,test,56,1,
,,visual-after,0.04,1.5,6,3,stretched,0.4958621000405401,295,test,56,1,
,,visual-after,0.04,1,4,6,squashed,0.3023516999091953,265,test,56,1,
,,visual-after,0.04,1,7,6,squashed,0.35293089994229376,231,test,56,1,
,,visual-after,0.04,0.75,8,6,squashed,0.42377019999548793,255,test,56,1,
,,visual-after,0.04,0.5,5,6,squashed,0.25675479997880757,255,test,56,1,
,,visual-after,0.04,1.5,2,3,stretched,0.20823380001820624,256,test,56,1,
,,visual-after,0.04,0.5,7,6,squashed,0.218063100008294,239,test,56,1,
,,visual-after,0.04,1.25,3,3,stretched,0.189978500129655,196,test,56,1,
,,visual-after,0.04,0.5,8,6,squashed,0.06835930002853274,230,test,56,1,
,,visual-after,0.04,0.5,3,3,stretched,0.3072687000967562,230,test,56,1,
,,visual-after,0.04,1,1,3,stretched,0.44026569998823106,251,test,56,1,
,,visual-after,0.04,1,8,3,stretched,0.6519840999972075,219,test,56,1,
,,visual-after,0.04,1.25,5,6,squashed,0.40300589986145496,238,test,56,1,
,,visual-after,0.04,1.5,0,3,stretched,0.27879530005156994,275,test,56,1,
,,visual-after,0.04,0.5,6,6,squashed,0.441433799918741,256,test,56,1,
,,visual-after,0.04,1.25,7,6,squashed,0.7292382000014186,252,test,56,1,
,,visual-after,0.04,0.75,4,6,squashed,0.29686999996192753,236,test,56,1,
,,visual-after,0.04,0.75,1,6,squashed,0.16747829993255436,260,test,56,1,
,,visual-after,0.04,0.75,0,6,squashed,0.1485476999077946,241,test,56,1,
,,visual-after,0.04,1,2,6,squashed,0.04800840001553297,263,test,56,1,
,,visual-after,0.04,0.5,9,6,squashed,0.09541289997287095,255,test,56,1,
,,visual-after,0.04,1.25,0,3,stretched,0.7035086997784674,225,test,56,1,
,,visual-after,0.04,1.5,7,6,squashed,0.014655299950391054,269,test,56,1,
,,visual-after,0.04,0.5,1,6,squashed,0.09476170013658702,226,test,56,1,
,,visual-after,0.04,1.5,5,3,stretched,0.14143610000610352,227,test,56,1,
,,visual-after,0.04,0.5,0,6,squashed,0.22774440003558993,268,test,56,1,
,,visual-after,0.04,1.5,9,3,stretched,0.26772579993121326,251,test,56,1,
,,visual-after,0.04,0.75,5,6,squashed,0.2451431001536548,226,test,56,1,
,,visual-after,0.04,1.25,8,6,squashed,0.19443979999050498,249,test,56,1,
,,visual-after,0.04,1.5,4,6,squashed,0.283665900118649,271,test,56,1,
,,visual-after,0.04,0.75,2,6,squashed,0.6519579000305384,279,test,56,1,
,,visual-after,0.04,1.25,6,6,squashed,0.07554049999453127,264,test,56,1,
,,visual-after,0.04,1.25,4,6,squashed,0.13330069999210536,219,test,56,1,
,,visual-after,0.04,0.75,9,6,squashed,0.2731459999922663,246,test,56,1,
,,visual-after,0.04,0.75,7,6,squashed,0.14584890007972717,267,test,56,1,
,,visual-after,0.04,1,9,6,squashed,0.2605425000656396,248,test,56,1,
,,visual-after,0.04,1,3,6,squashed,0.1230345000512898,246,test,56,1,
,,visual-after,0.04,1.5,1,6,squashed,0.06927719991654158,258,test,56,1,
,,visual-after,0.04,0.5,2,6,squashed,0.06635880004614592,218,test,56,1,
,,visual-after,0.04,0.75,3,6,squashed,0.17262660013511777,237,test,56,1,
,,visual-after,0.04,1,0,6,squashed,0.11769920005463064,224,test,56,1,
,,visual-after,0.04,1.5,8,3,stretched,0.2511082000564784,246,test,56,1,
,,visual-after,0.04,1.25,2,3,stretched,0.08305690018460155,228,test,56,1,
,,visual-after,0.04,0.5,4,6,squashed,0.14990700013004243,243,test,56,1,
,,visual-after,0.04,1.25,1,3,stretched,0.06201560003682971,273,test,56,1,
,,visual-after,0.04,1.25,9,3,stretched,0.03306889999657869,247,test,56,1,
,,visual-after,0.04,1,5,3,stretched,0.2692370000295341,236,test,56,1,
,,visual-after,0.04,1.5,3,3,stretched,0.05013009998947382,301,test,56,1,
,,visual-after,0.04,0.75,6,6,squashed,0.20239759981632233,246,test,56,1,
