thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-only,0.04,1.25,5,3,stretched,0.595501699950546,202,test,56,1,
,,visual-only,0.04,0.5,9,3,stretched,1.9188083000481129,273,test,56,1,
,,visual-only,0.04,1.25,4,3,stretched,0.46183219994418323,259,test,56,1,
,,visual-only,0.04,0.5,7,3,stretched,0.9251935000065714,276,test,56,1,
,,visual-only,0.04,0.75,7,3,stretched,0.4115285000298172,239,test,56,1,
,,visual-only,0.04,1.25,9,3,stretched,1.314312499947846,255,test,56,1,
,,visual-only,0.04,1.5,0,3,stretched,1.6053181001916528,256,test,56,1,
,,visual-only,0.04,0.5,3,3,stretched,0.5228411999996752,252,test,56,1,
,,visual-only,0.04,0.75,1,3,stretched,0.9588437001220882,277,test,56,1,
,,visual-only,0.04,0.75,2,3,stretched,1.5570687998551875,273,test,56,1,
,,visual-only,0.04,0.75,5,3,stretched,0.9762229998596013,249,test,56,1,
,,visual-only,0.04,1.5,3,3,stretched,1.8028293000534177,235,test,56,1,
,,visual-only,0.04,0.5,0,3,stretched,1.3259580999147147,246,test,56,1,
,,visual-only,0.04,0.5,8,3,stretched,0.34478010004386306,247,test,56,1,
,,visual-only,0.04,0.75,3,3,stretched,1.30923270015046,257,test,56,1,
,,visual-only,0.04,1,6,3,stretched,2.6484170998446643,231,test,56,1,
,,visual-only,0.04,0.75,4,3,stretched,0.6639618000481278,271,test,56,1,
,,visual-only,0.04,0.75,0,3,stretched,0.0027308999560773373,242,test,56,1,
,,visual-only,0.04,1,5,6,squashed,0.6961324000731111,217,test,56,1,
,,visual-only,0.04,1.25,7,3,stretched,0.24379930016584694,251,test,56,1,
,,visual-only,0.04,0.5,5,3,stretched,0.5798202001024038,256,test,56,1,
,,visual-only,0.04,1.5,5,3,stretched,0.008658899925649166,231,test,56,1,
,,visual-only,0.04,1.5,1,6,squashed,1.0223612000700086,199,test,56,1,
,,visual-only,0.04,0.5,1,6,squashed,0.3413889000657946,290,test,56,1,
,,visual-only,0.04,1.25,2,3,stretched,0.7715541999787092,251,test,56,1,
,,visual-only,0.04,1.5,2,3,stretched,0.21109439991414547,227,test,56,1,
,,visual-only,0.04,1.25,1,3,stretched,0.32099159993231297,234,test,56,1,
,,visual-only,0.04,1.25,3,3,stretched,0.3234230000525713,226,test,56,1,
,,visual-only,0.04,1,3,6,squashed,0.6970577000174671,251,test,56,1,
,,visual-only,0.04,1,7,3,stretched,0.2386277001351118,231,test,56,1,
,,visual-only,0.04,0.5,4,6,squashed,0.31900819996371865,253,test,56,1,
,,visual-only,0.04,0.5,2,3,stretched,0.2678909001406282,221,test,56,1,
,,visual-only,0.04,1.5,8,3,stretched,0.02847550017759204,255,test,56,1,
,,visual-only,0.04,1.5,9,3,stretched,5.807403799844906,220,test,56,1,
,,visual-only,0.04,1.25,8,6,squashed,0.3061756999231875,267,test,56,1,
,,visual-only,0.04,1.5,6,3,stretched,0.13440290000289679,258,test,56,1,
,,visual-only,0.04,0.75,9,6,squashed,0.24856279999949038,253,test,56,1,
,,visual-only,0.04,1,9,6,squashed,0.32427380001172423,264,test,56,1,
,,visual-only,0.04,0.75,6,6,squashed,0.441197199979797,216,test,56,1,
,,visual-only,0.04,1,4,6,squashed,0.19899720000103116,252,test,56,1,
,,visual-only,0.04,1.5,7,3,stretched,0.21951290010474622,248,test,56,1,
,,visual-only,0.04,1.5,4,3,stretched,0.010981099912896752,251,test,56,1,
,,visual-only,0.04,1.25,6,6,squashed,0.22914700000546873,205,test,56,1,
,,visual-only,0.04,1,2,6,squashed,0.24729009997099638,257,test,56,1,
,,visual-only,0.04,1.25,0,6,squashed,0.14825100009329617,241,test,56,1,
,,visual-only,0.04,1,1,6,squashed,0.17639069980941713,259,test,56,1,
,,visual-only,0.04,1,8,6,squashed,0.11142989993095398,238,test,56,1,
,,visual-only,0.04,0.75,8,6,squashed,0.13212099997326732,221,test,56,1,
,,visual-only,0.04,0.5,6,3,stretched,0.09506980003789067,253,test,56,1,
,,visual-only,0.04,1,0,6,squashed,0.1252238000743091,223,test,56,1,
