thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,1.5,3,3,stretched,4.788067400106229,2,kc,56,1,
,,haptic-only,0.04,0.5,3,6,squashed,1.796945699956268,0,kc,56,1,
,,haptic-only,0.04,0.5,2,6,squashed,1.0076663000509143,1,kc,56,1,
,,haptic-only,0.04,1.25,0,3,stretched,1.9637160999700427,0,kc,56,1,
,,haptic-only,0.04,0.75,3,6,squashed,1.3852657000534236,0,kc,56,1,
,,haptic-only,0.04,0.5,0,6,squashed,1.0204034999478608,1,kc,56,1,
,,haptic-only,0.04,1,2,3,stretched,3.5011361999204382,0,kc,56,1,
,,haptic-only,0.04,1,1,3,stretched,1.8688144999323413,1,kc,56,1,
,,haptic-only,0.04,1.25,3,3,stretched,1.9306771999690682,1,kc,56,1,
,,haptic-only,0.04,0.75,1,3,stretched,4.838626700104214,1,kc,56,1,
,,haptic-only,0.04,0.75,0,6,squashed,1.3884568000212312,1,kc,56,1,
,,haptic-only,0.04,0.75,2,6,squashed,1.0398732000030577,0,kc,56,1,
,,haptic-only,0.04,1.25,1,3,stretched,0.8335751000558957,1,kc,56,1,
,,haptic-only,0.04,1.5,2,3,stretched,0.6960174000123516,0,kc,56,1,
,,haptic-only,0.04,1,3,3,stretched,0.8010461999801919,0,kc,56,1,
,,haptic-only,0.04,1.5,0,3,stretched,1.4072386999614537,0,kc,56,1,
,,haptic-only,0.04,1.5,1,3,stretched,0.7112056999467313,1,kc,56,1,
,,haptic-only,0.04,0.5,1,6,squashed,1.1992413999978453,0,kc,56,1,
,,haptic-only,0.04,1,0,3,stretched,0.6238418999128044,0,kc,56,1,
,,haptic-only,0.04,1.25,2,3,stretched,0.3948176000267267,0,kc,56,1,
