thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,0,1,0.04,0.75,1,6,squashed,3.169221799937077,275,kc,56,1,
,,visual-haptic,0,1,0.04,1,3,3,stretched,2.5652022999711335,278,kc,56,1,
,,visual-haptic,0,1,0.04,1.25,0,3,stretched,2.8519215000560507,274,kc,56,1,
,,visual-haptic,1,0,0.04,0.5,2,6,squashed,4.057854900020175,266,kc,56,1,
,,visual-haptic,0,2,0.04,0.5,1,6,squashed,2.7136474000290036,215,kc,56,1,
,,visual-haptic,3,0,0.04,0.5,3,6,squashed,2.584654000005685,272,kc,56,1,
,,visual-haptic,3,0,0.04,1,2,3,stretched,4.522223299951293,243,kc,56,1,
,,visual-haptic,1,0,0.04,1.5,3,3,stretched,2.0797139999922365,245,kc,56,1,
,,visual-haptic,1,2,0.04,1,1,6,squashed,5.702494699973613,230,kc,56,1,
,,visual-haptic,1,1,0.04,0.75,2,6,squashed,4.998836899991147,274,kc,56,1,
,,visual-haptic,3,1,0.04,1,0,3,stretched,2.9836430000141263,303,kc,56,1,
,,visual-haptic,3,2,0.04,0.75,2,6,squashed,2.3890780999790877,253,kc,56,1,
,,visual-haptic,1,2,0.04,0.75,3,3,stretched,2.869842700078152,260,kc,56,1,
,,visual-haptic,1,0,0.04,1,2,6,squashed,4.17130080005154,268,kc,56,1,
,,visual-haptic,0,2,0.04,0.5,3,6,squashed,1.8680147000122815,249,kc,56,1,
,,visual-haptic,0,2,0.04,0.75,2,3,stretched,0.9934686999768019,227,kc,56,1,
,,visual-haptic,0,1,0.04,1,0,3,stretched,0.9495697000529617,275,kc,56,1,
,,visual-haptic,0,2,0.04,1,0,3,stretched,1.0582870000507683,230,kc,56,1,
,,visual-haptic,3,1,0.04,0.5,3,6,squashed,1.0087063999380916,280,kc,56,1,
,,visual-haptic,3,2,0.04,0.5,0,6,squashed,1.3539441999746487,232,kc,56,1,
,,visual-haptic,1,1,0.04,0.75,3,6,squashed,2.2521732999011874,314,kc,56,1,
,,visual-haptic,3,0,0.04,1.25,0,3,stretched,1.9997967999661341,252,kc,56,1,
,,visual-haptic,3,2,0.04,1.5,2,3,stretched,1.5396641000406817,233,kc,56,1,
,,visual-haptic,1,2,0.04,0.75,0,6,squashed,2.0124419999774545,237,kc,56,1,
,,visual-haptic,1,0,0.04,1.25,1,3,stretched,1.512960399966687,249,kc,56,1,
,,visual-haptic,1,0,0.04,1.25,2,6,squashed,3.179151799995452,245,kc,56,1,
,,visual-haptic,0,0,0.04,0.5,2,6,squashed,0.5766305000288412,266,kc,56,1,
,,visual-haptic,3,0,0.04,1.25,3,6,squashed,1.724615800078027,254,kc,56,1,
,,visual-haptic,3,0,0.04,0.75,2,6,squashed,0.9927306000608951,267,kc,56,1,
,,visual-haptic,0,1,0.04,0.75,2,6,squashed,1.0366224999306723,306,kc,56,1,
,,visual-haptic,0,0,0.04,0.75,1,6,squashed,1.125940400059335,251,kc,56,1,
,,visual-haptic,3,0,0.04,1.25,2,3,stretched,3.920675399946049,272,kc,56,1,
,,visual-haptic,3,0,0.04,1.5,0,3,stretched,0.6017840000567958,247,kc,56,1,
,,visual-haptic,3,0,0.04,0.75,0,6,squashed,2.0663470999570563,219,kc,56,1,
,,visual-haptic,3,2,0.04,0.5,1,6,squashed,2.927486200002022,233,kc,56,1,
,,visual-haptic,0,0,0.04,1.5,0,3,stretched,1.9402575000422075,272,kc,56,1,
,,visual-haptic,3,0,0.04,1.5,1,3,stretched,0.9769351000431925,242,kc,56,1,
,,visual-haptic,0,0,0.04,0.75,3,6,squashed,0.5266849999316037,246,kc,56,1,
,,visual-haptic,3,2,0.04,0.75,1,6,squashed,3.71442589990329,241,kc,56,1,
,,visual-haptic,3,2,0.04,0.5,3,6,squashed,0.647486999980174,231,kc,56,1,
,,visual-haptic,1,2,0.04,0.75,1,6,squashed,1.090600199997425,223,kc,56,1,
,,visual-haptic,1,0,0.04,1.5,2,3,stretched,0.6826901000458747,249,kc,56,1,
,,visual-haptic,3,2,0.04,1,2,6,squashed,3.5690825000638142,256,kc,56,1,
,,visual-haptic,1,0,0.04,1.25,3,3,stretched,1.5217058999696746,261,kc,56,1,
,,visual-haptic,0,0,0.04,1.5,3,3,stretched,0.3389620999805629,278,kc,56,1,
,,visual-haptic,1,0,0.04,1,1,3,stretched,0.37319239997304976,274,kc,56,1,
,,visual-haptic,1,1,0.04,1.25,0,3,stretched,1.4091795000713319,273,kc,56,1,
,,visual-haptic,3,2,0.04,1.5,3,3,stretched,0.4771584999980405,239,kc,56,1,
,,visual-haptic,3,1,0.04,1.25,0,3,stretched,3.126939000096172,278,kc,56,1,
,,visual-haptic,3,0,0.04,0.75,1,6,squashed,1.7700583999976516,249,kc,56,1,
,,visual-haptic,0,1,0.04,1.25,3,3,stretched,5.417457000003196,282,kc,56,1,
,,visual-haptic,1,1,0.04,1,2,6,squashed,1.2795760000590235,292,kc,56,1,
,,visual-haptic,0,0,0.04,0.5,3,6,squashed,9.816587200039066,246,kc,56,1,
,,visual-haptic,0,2,0.04,1.5,3,3,stretched,0.3073020000010729,205,kc,56,1,
,,visual-haptic,1,2,0.04,0.5,3,6,squashed,0.4370882000075653,257,kc,56,1,
,,visual-haptic,0,1,0.04,1.5,0,3,stretched,0.12945939996279776,279,kc,56,1,
,,visual-haptic,0,2,0.04,1.25,0,6,squashed,1.5134743000380695,257,kc,56,1,
,,visual-haptic,1,0,0.04,1.5,1,3,stretched,0.76240989996586,246,kc,56,1,
,,visual-haptic,3,1,0.04,0.5,0,6,squashed,0.15571610000915825,300,kc,56,1,
,,visual-haptic,3,0,0.04,0.75,3,6,squashed,2.0067959999432787,240,kc,56,1,
,,visual-haptic,1,2,0.04,1.5,2,3,stretched,3.5168560000602156,262,kc,56,1,
,,visual-haptic,3,0,0.04,1,1,3,stretched,0.8075098999543115,262,kc,56,1,
,,visual-haptic,1,1,0.04,0.5,1,6,squashed,0.45651390007697046,295,kc,56,1,
,,visual-haptic,0,2,0.04,1.5,1,3,stretched,0.770216100034304,239,kc,56,1,
,,visual-haptic,1,0,0.04,0.5,1,6,squashed,4.1178377000615,241,kc,56,1,
,,visual-haptic,1,1,0.04,1,1,3,stretched,0.7041175999911502,277,kc,56,1,
,,visual-haptic,0,2,0.04,1.25,1,3,stretched,0.5017709999810904,230,kc,56,1,
,,visual-haptic,0,1,0.04,1.5,3,3,stretched,1.5656696999212727,304,kc,56,1,
,,visual-haptic,0,1,0.04,1.25,1,3,stretched,1.5704519000137225,280,kc,56,1,
,,visual-haptic,3,1,0.04,1.5,3,6,squashed,1.667456700000912,279,kc,56,1,
,,visual-haptic,0,0,0.04,1.25,0,6,squashed,4.459014299907722,268,kc,56,1,
,,visual-haptic,1,2,0.04,1.25,2,6,squashed,0.5035948000149801,248,kc,56,1,
,,visual-haptic,0,0,0.04,0.5,1,6,squashed,0.04393870010972023,247,kc,56,1,
,,visual-haptic,1,0,0.04,0.75,2,6,squashed,1.1108249999815598,242,kc,56,1,
,,visual-haptic,1,2,0.04,1.5,0,3,stretched,0.4406995999161154,238,kc,56,1,
,,visual-haptic,1,0,0.04,0.75,1,6,squashed,1.4095264000352472,243,kc,56,1,
,,visual-haptic,3,1,0.04,1,3,3,stretched,0.010425699991174042,280,kc,56,1,
,,visual-haptic,1,2,0.04,1.5,1,3,stretched,1.749116199905984,220,kc,56,1,
,,visual-haptic,1,0,0.04,0.5,3,6,squashed,0.05370960000436753,247,kc,56,1,
,,visual-haptic,0,1,0.04,1,1,3,stretched,0.916990999947302,305,kc,56,1,
,,visual-haptic,3,0,0.04,1.25,1,6,squashed,0.782781699905172,250,kc,56,1,
,,visual-haptic,0,2,0.04,1.5,0,3,stretched,0.41000380006153136,246,kc,56,1,
,,visual-haptic,3,0,0.04,0.5,1,6,squashed,0.6004682999337092,283,kc,56,1,
,,visual-haptic,1,1,0.04,1,0,3,stretched,0.7256276999833062,274,kc,56,1,
,,visual-haptic,3,2,0.04,1.5,0,3,stretched,0.21679479989688843,222,kc,56,1,
,,visual-haptic,3,2,0.04,0.5,2,6,squashed,0.6173936000559479,245,kc,56,1,
,,visual-haptic,3,1,0.04,1,2,3,stretched,1.4532124999677762,306,kc,56,1,
,,visual-haptic,0,1,0.04,0.5,1,6,squashed,0.41323139995802194,291,kc,56,1,
