thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-only,0.04,1,2,6,squashed,7.220804900047369,232,kc,56,1,
,,visual-only,0.04,1.25,3,6,squashed,0.6363730999873951,237,kc,56,1,
,,visual-only,0.04,0.75,0,6,squashed,30.640799200045876,235,kc,56,1,
,,visual-only,0.04,1.5,2,6,squashed,1.8208748999750242,236,kc,56,1,
,,visual-only,0.04,1,1,6,squashed,2.9194909000070766,236,kc,56,1,
,,visual-only,0.04,1.5,0,6,squashed,10.382107399986126,257,kc,56,1,
,,visual-only,0.04,0.75,3,6,squashed,2.0044322999892756,230,kc,56,1,
,,visual-only,0.04,1,0,6,squashed,1.2569928000448272,233,kc,56,1,
,,visual-only,0.04,0.5,2,3,stretched,6.246546700014733,230,kc,56,1,
,,visual-only,0.04,1.25,1,6,squashed,5.475713000050746,285,kc,56,1,
,,visual-only,0.04,0.5,1,3,stretched,1.995885799988173,252,kc,56,1,
,,visual-only,0.04,1.25,2,6,squashed,5.451436700066552,235,kc,56,1,
,,visual-only,0.04,1,3,6,squashed,2.0366459999931976,221,kc,56,1,
,,visual-only,0.04,1.25,0,6,squashed,1.7747874000342563,237,kc,56,1,
,,visual-only,0.04,0.5,0,3,stretched,1.9160831000190228,235,kc,56,1,
,,visual-only,0.04,1.5,1,3,stretched,1.1913828001124784,233,kc,56,1,
,,visual-only,0.04,0.75,2,6,squashed,2.3064916000002995,252,kc,56,1,
,,visual-only,0.04,1.5,3,3,stretched,5.647833899944089,231,kc,56,1,
,,visual-only,0.04,0.5,3,6,squashed,2.0697663999162614,244,kc,56,1,
,,visual-only,0.04,0.75,1,6,squashed,8.719970800098963,251,kc,56,1,
