thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,0.04,1.25,4,3,stretched,3.812603600003058,204,pz,56,1,
,,visual-haptic,0.04,1,1,6,squashed,1.822955899988301,248,pz,56,1,
,,visual-haptic,0.04,0.5,1,6,squashed,1.584016499997233,234,pz,56,1,
,,visual-haptic,0.04,0.75,0,6,squashed,1.2616941000014776,244,pz,56,1,
,,visual-haptic,0.04,0.75,1,6,squashed,1.755617999995593,280,pz,56,1,
,,visual-haptic,0.04,1,3,3,stretched,1.4710141999967163,281,pz,56,1,
,,visual-haptic,0.04,1.25,0,3,stretched,1.2615471999888541,233,pz,56,1,
,,visual-haptic,0.04,1,3,6,squashed,3.6908379000087734,234,pz,56,1,
,,visual-haptic,0.04,1.25,1,3,stretched,2.0639048000011826,247,pz,56,1,
,,visual-haptic,0.04,1.25,0,3,stretched,1.1172056999930646,243,pz,56,1,
,,visual-haptic,0.04,1,2,6,squashed,2.05982569999469,243,pz,56,1,
,,visual-haptic,0.04,0.5,3,6,squashed,0.8003190000017639,225,pz,56,1,
,,visual-haptic,0.04,1.5,1,3,stretched,1.2132220000057714,275,pz,56,1,
,,visual-haptic,0.04,1.25,1,3,stretched,2.0756121999875177,262,pz,56,1,
,,visual-haptic,0.04,0.5,4,6,squashed,0.9375527999945916,227,pz,56,1,
,,visual-haptic,0.04,1.5,3,3,stretched,1.6704619000083767,233,pz,56,1,
,,visual-haptic,0.04,1.5,1,3,stretched,1.4090746000001673,231,pz,56,1,
,,visual-haptic,0.04,0.75,0,6,squashed,1.0199142000055872,273,pz,56,1,
,,visual-haptic,0.04,0.75,4,6,squashed,3.239527800003998,299,pz,56,1,
,,visual-haptic,0.04,0.75,4,6,squashed,2.703670000002603,246,pz,56,1,
,,visual-haptic,0.04,1,1,3,stretched,0.9413858999905642,234,pz,56,1,
,,visual-haptic,0.04,0.75,3,3,stretched,1.673073400001158,229,pz,56,1,
,,visual-haptic,0.04,0.75,4,3,stretched,1.4177405000082217,232,pz,56,1,
,,visual-haptic,0.04,0.5,0,6,squashed,0.8046844999917084,278,pz,56,1,
,,visual-haptic,0.04,1,0,3,stretched,1.408760300007998,232,pz,56,1,
,,visual-haptic,0.04,0.75,0,6,squashed,2.1353424999979325,244,pz,56,1,
,,visual-haptic,0.04,0.75,2,6,squashed,1.3408473000017693,232,pz,56,1,
,,visual-haptic,0.04,1.5,1,3,stretched,1.2972842000017408,242,pz,56,1,
,,visual-haptic,0.04,0.75,2,6,squashed,4.171547599995392,240,pz,56,1,
,,visual-haptic,0.04,0.75,4,3,stretched,1.239420700003393,223,pz,56,1,
,,visual-haptic,0.04,1.25,2,3,stretched,0.7098153999977512,278,pz,56,1,
,,visual-haptic,0.04,1,1,3,stretched,1.1424526000046171,214,pz,56,1,
,,visual-haptic,0.04,1.25,3,3,stretched,1.3367947999940952,233,pz,56,1,
,,visual-haptic,0.04,1,3,3,stretched,0.9961930999998003,273,pz,56,1,
,,visual-haptic,0.04,1.5,2,3,stretched,0.8495960000000196,275,pz,56,1,
,,visual-haptic,0.04,0.75,1,6,squashed,0.8340153000026476,243,pz,56,1,
,,visual-haptic,0.04,1.25,0,3,stretched,0.9371915000083391,224,pz,56,1,
