thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,0.04,0.5,3,3,stretched,2.5102286000037566,235,pz,56,1,
,,visual-haptic,0.04,1.25,1,3,stretched,0.9506247999961488,235,pz,56,1,
,,visual-haptic,0.04,1.5,0,3,stretched,4.19267919997219,247,pz,56,1,
,,visual-haptic,0.04,1.25,2,3,stretched,0.17189009999856353,272,pz,56,1,
,,visual-haptic,0.04,1.25,1,3,stretched,0.6607373000006191,230,pz,56,1,
,,visual-haptic,0.04,1.5,1,3,stretched,0.6649574000039138,231,pz,56,1,
,,visual-haptic,0.04,0.5,4,6,squashed,0.6157525000162423,299,pz,56,1,
,,visual-haptic,0.04,1,2,6,squashed,1.9945359000121243,238,pz,56,1,
,,visual-haptic,0.04,1.25,3,3,stretched,0.7162644999916665,308,pz,56,1,
,,visual-haptic,0.04,1,2,3,stretched,0.5259017999633215,275,pz,56,1,
,,visual-haptic,0.04,1.25,3,3,stretched,0.49423840001691133,230,pz,56,1,
,,visual-haptic,0.04,1.5,2,3,stretched,0.6849324000068009,222,pz,56,1,
,,visual-haptic,0.04,0.5,1,6,squashed,0.5687734999810345,275,pz,56,1,
,,visual-haptic,0.04,0.5,2,6,squashed,0.2430737999966368,241,pz,56,1,
,,visual-haptic,0.04,0.75,2,6,squashed,0.9612720999866724,279,pz,56,1,
,,visual-haptic,0.04,1.25,4,3,stretched,2.6295498000108637,274,pz,56,1,
,,visual-haptic,0.04,0.75,4,6,squashed,1.051944899954833,234,pz,56,1,
,,visual-haptic,0.04,1.5,1,3,stretched,0.8001828000415117,303,pz,56,1,
,,visual-haptic,0.04,1,1,3,stretched,0.5132296999800019,261,pz,56,1,
,,visual-haptic,0.04,1.5,3,3,stretched,0.280910000030417,237,pz,56,1,
,,visual-haptic,0.04,1.5,0,3,stretched,0.719614100002218,274,pz,56,1,
,,visual-haptic,0.04,1.5,2,3,stretched,1.0423467999789864,241,pz,56,1,
,,visual-haptic,0.04,1.25,0,3,stretched,1.5349107999936678,272,pz,56,1,
,,visual-haptic,0.04,1.5,4,3,stretched,0.4614214000175707,234,pz,56,1,
,,visual-haptic,0.04,0.5,0,6,squashed,0.25905120000243187,250,pz,56,1,
,,visual-haptic,0.04,0.5,0,6,squashed,0.643072500010021,276,pz,56,1,
,,visual-haptic,0.04,1.5,3,3,stretched,2.7197995000169612,280,pz,56,1,
,,visual-haptic,0.04,1.5,2,3,stretched,0.6533717999700457,274,pz,56,1,
,,visual-haptic,0.04,0.5,2,6,squashed,0.7340960000292398,249,pz,56,1,
,,visual-haptic,0.04,1.25,1,3,stretched,1.0220311000011861,267,pz,56,1,
,,visual-haptic,0.04,1,4,6,squashed,1.4321683999733068,271,pz,56,1,
,,visual-haptic,0.04,1.5,3,3,stretched,0.33975079999072477,297,pz,56,1,
,,visual-haptic,0.04,0.75,3,6,squashed,0.7079261000035331,255,pz,56,1,
,,visual-haptic,0.04,1.5,4,3,stretched,0.056806800013873726,244,pz,56,1,
,,visual-haptic,0.04,1.5,3,3,stretched,0.25718590000178665,235,pz,56,1,
,,visual-haptic,0.04,0.75,1,6,squashed,0.5868928999989294,254,pz,56,1,
,,visual-haptic,0.04,0.5,4,6,squashed,1.135218600044027,268,pz,56,1,
,,visual-haptic,0.04,0.5,3,6,squashed,0.8206503000110388,272,pz,56,1,
,,visual-haptic,0.04,0.75,0,6,squashed,0.7867774000042118,300,pz,56,1,
,,visual-haptic,0.04,0.75,0,6,squashed,1.396366799948737,243,pz,56,1,
,,visual-haptic,0.04,0.75,0,6,squashed,0.6915440000011586,244,pz,56,1,
,,visual-haptic,0.04,1,1,3,stretched,0.8482521999976598,252,pz,56,1,
,,visual-haptic,0.04,1.25,0,3,stretched,0.6055281000444666,278,pz,56,1,
,,visual-haptic,0.04,1.25,1,3,stretched,0.706402900046669,299,pz,56,1,
,,visual-haptic,0.04,1,1,3,stretched,0.6689100000075996,228,pz,56,1,
,,visual-haptic,0.04,1.5,4,3,stretched,0.6313705000211485,252,pz,56,1,
,,visual-haptic,0.04,1.25,2,3,stretched,0.30852099996991456,276,pz,56,1,
,,visual-haptic,0.04,0.75,1,6,squashed,0.47583820001455024,231,pz,56,1,
,,visual-haptic,0.04,0.75,2,6,squashed,0.7396999999764375,212,pz,56,1,
,,visual-haptic,0.04,1.25,4,3,stretched,1.298584199976176,243,pz,56,1,
,,visual-haptic,0.04,1.5,1,3,stretched,0.5551518000429496,246,pz,56,1,
,,visual-haptic,0.04,1,2,3,stretched,0.5034291999763809,273,pz,56,1,
,,visual-haptic,0.04,1.5,0,3,stretched,0.10745980002684519,289,pz,56,1,
,,visual-haptic,0.04,0.75,3,6,squashed,0.3949317999649793,217,pz,56,1,
,,visual-haptic,0.04,0.75,3,6,squashed,0.3912861999706365,244,pz,56,1,
,,visual-haptic,0.04,1.25,3,3,stretched,0.7224457999691367,272,pz,56,1,
,,visual-haptic,0.04,1.25,3,3,stretched,1.329912300046999,227,pz,56,1,
,,visual-haptic,0.04,1.5,4,3,stretched,0.1311691000009887,239,pz,56,1,
,,visual-haptic,0.04,0.5,1,6,squashed,0.03583380003692582,273,pz,56,1,
,,visual-haptic,0.04,1.5,0,3,stretched,0.5084107000147924,214,pz,56,1,
,,visual-haptic,0.04,0.75,2,6,squashed,1.7610200999770314,246,pz,56,1,
,,visual-haptic,0.04,0.5,4,6,squashed,1.6544653000310063,229,pz,56,1,
,,visual-haptic,0.04,1,4,3,stretched,0.5387015999876894,233,pz,56,1,
,,visual-haptic,0.04,1,3,3,stretched,0.8526813000207767,243,pz,56,1,
,,visual-haptic,0.04,1.25,0,3,stretched,0.6493933000019751,271,pz,56,1,
,,visual-haptic,0.04,1.25,1,3,stretched,0.8945373999886215,255,pz,56,1,
,,visual-haptic,0.04,1.25,3,3,stretched,0.6363402000279166,286,pz,56,1,
,,visual-haptic,0.04,1,3,6,squashed,1.3529160000034608,279,pz,56,1,
,,visual-haptic,0.04,1,1,3,stretched,0.2077049999497831,245,pz,56,1,
,,visual-haptic,0.04,0.75,2,6,squashed,0.7956403999705799,245,pz,56,1,
,,visual-haptic,0.04,0.5,4,6,squashed,0.9453556999797001,266,pz,56,1,
,,visual-haptic,0.04,0.5,4,6,squashed,0.14363649999722838,247,pz,56,1,
,,visual-haptic,0.04,0.75,3,6,squashed,0.9607865999569185,229,pz,56,1,
,,visual-haptic,0.04,0.5,2,6,squashed,0.8145027999999002,294,pz,56,1,
,,visual-haptic,0.04,0.5,1,6,squashed,0.5104805000009947,246,pz,56,1,
,,visual-haptic,0.04,0.75,1,6,squashed,1.0391839999938384,243,pz,56,1,
,,visual-haptic,0.04,0.75,3,6,squashed,0.8774374999920838,250,pz,56,1,
,,visual-haptic,0.04,1,0,3,stretched,1.2847046999959275,244,pz,56,1,
,,visual-haptic,0.04,0.5,1,6,squashed,0.794423800020013,263,pz,56,1,
,,visual-haptic,0.04,1.5,3,3,stretched,1.0654774999711663,278,pz,56,1,
,,visual-haptic,0.04,0.75,3,6,squashed,1.4872751999646425,273,pz,56,1,
,,visual-haptic,0.04,0.75,0,6,squashed,1.8005264999810606,282,pz,56,1,
,,visual-haptic,0.04,1.5,2,3,stretched,0.6751566000166349,252,pz,56,1,
,,visual-haptic,0.04,1.25,2,3,stretched,1.036970500019379,267,pz,56,1,
,,visual-haptic,0.04,0.5,0,6,squashed,0.0714721999829635,230,pz,56,1,
,,visual-haptic,0.04,1.25,0,3,stretched,1.1415547999786213,294,pz,56,1,
,,visual-haptic,0.04,1.25,3,3,stretched,0.030376699985936284,297,pz,56,1,
,,visual-haptic,0.04,0.75,2,6,squashed,0.5760406000190414,295,pz,56,1,
,,visual-haptic,0.04,1,1,3,stretched,1.1591373000410385,276,pz,56,1,
,,visual-haptic,0.04,1,3,3,stretched,1.1412806999869645,242,pz,56,1,
,,visual-haptic,0.04,1.5,4,3,stretched,0.44322770001599565,277,pz,56,1,
,,visual-haptic,0.04,1.5,2,3,stretched,0.6255859999801032,248,pz,56,1,
,,visual-haptic,0.04,1.5,0,3,stretched,0.6904003000236116,277,pz,56,1,
,,visual-haptic,0.04,0.75,3,6,squashed,1.8457622000132687,293,pz,56,1,
,,visual-haptic,0.04,0.5,3,6,squashed,1.1380960999522358,229,pz,56,1,
,,visual-haptic,0.04,0.5,1,6,squashed,0.8425756999640726,268,pz,56,1,
,,visual-haptic,0.04,1.5,3,3,stretched,0.9581985000404529,245,pz,56,1,
