thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,0.04,0.5,0,6,squashed,2.5985550000332296,221,pz_3,56,1,
,,visual-haptic,0.04,1,3,3,stretched,2.3716251999139786,234,pz_3,56,1,
,,visual-haptic,0.04,1.25,2,3,stretched,2.562487700022757,246,pz_3,56,1,
,,visual-haptic,0.04,1.25,1,3,stretched,2.1205039999913424,264,pz_3,56,1,
,,visual-haptic,0.04,0.5,0,6,squashed,154.83054969995283,294,pz_3,56,1,
,,visual-haptic,0.04,1.25,0,3,stretched,2.559077300131321,268,pz_3,56,1,
,,visual-haptic,0.04,1.25,1,3,stretched,6.441672200104222,227,pz_3,56,1,
,,visual-haptic,0.04,1.5,2,6,squashed,13.843962099868804,241,pz_3,56,1,
,,visual-haptic,0.04,1.25,4,6,squashed,4.496375600108877,250,pz_3,56,1,
,,visual-haptic,0.04,0.5,3,6,squashed,1.6403465999756008,232,pz_3,56,1,
,,visual-haptic,0.04,1.5,4,3,stretched,2.4167981001082808,275,pz_3,56,1,
,,visual-haptic,0.04,0.75,1,3,stretched,1.7044275999069214,298,pz_3,56,1,
,,visual-haptic,0.04,1.25,3,3,stretched,1.8341738998424262,276,pz_3,56,1,
