thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,haptic-only,0.04,1.5,3,3,stretched,2.894101000041701,0,sp,56,1,
,,haptic-only,0.04,1.5,0,3,stretched,1.0521200998919085,0,sp,56,1,
,,haptic-only,0.04,1,3,3,stretched,0.769061499973759,0,sp,56,1,
,,haptic-only,0.04,1.25,0,3,stretched,0.6037806000094861,1,sp,56,1,
,,haptic-only,0.04,1.25,3,6,squashed,2.679168300004676,0,sp,56,1,
,,haptic-only,0.04,0.75,2,6,squashed,0.2662345999851823,0,sp,56,1,
,,haptic-only,0.04,1.25,1,3,stretched,0.32709819998126477,1,sp,56,1,
,,haptic-only,0.04,1.5,2,3,stretched,6.949929800000973,0,sp,56,1,
,,haptic-only,0.04,0.75,3,6,squashed,0.18009740009438246,0,sp,56,1,
,,haptic-only,0.04,1.25,2,6,squashed,1.3660825999686494,1,sp,56,1,
,,haptic-only,0.04,1.5,1,3,stretched,9.517919800011441,0,sp,56,1,
,,haptic-only,0.04,0.75,1,6,squashed,1.6884086999343708,1,sp,56,1,
,,haptic-only,0.04,1,1,3,stretched,0.8515183000126854,0,sp,56,1,
,,haptic-only,0.04,0.5,2,6,squashed,0.8559327999828383,0,sp,56,1,
,,haptic-only,0.04,1,0,6,squashed,3.899545199936256,1,sp,56,1,
,,haptic-only,0.04,0.5,0,6,squashed,1.9157734999898821,0,sp,56,1,
,,haptic-only,0.04,0.5,3,6,squashed,2.3861900999909267,0,sp,56,1,
,,haptic-only,0.04,1,2,3,stretched,1.4143623999552801,0,sp,56,1,
,,haptic-only,0.04,0.75,0,6,squashed,1.852670600055717,1,sp,56,1,
,,haptic-only,0.04,0.5,1,6,squashed,1.858210499980487,1,sp,56,1,
