thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,0,2,0.04,1.25,1,6,squashed,17.931239400058985,223,sp,56,1,
,,visual-haptic,1,1,0.04,1.25,1,6,squashed,2.823805700056255,303,sp,56,1,
,,visual-haptic,3,1,0.04,1.5,1,3,stretched,2.1936103999614716,285,sp,56,1,
,,visual-haptic,0,1,0.04,0.75,1,6,squashed,1.3851073000114411,274,sp,56,1,
,,visual-haptic,1,0,0.04,0.75,3,6,squashed,2.029169699992053,217,sp,56,1,
,,visual-haptic,3,2,0.04,1.5,1,3,stretched,1.1428344000596553,215,sp,56,1,
,,visual-haptic,3,1,0.04,0.75,3,6,squashed,1.2293115999782458,319,sp,56,1,
,,visual-haptic,1,0,0.04,1,2,3,stretched,1.108935600030236,252,sp,56,1,
,,visual-haptic,1,0,0.04,1.5,2,3,stretched,1.0202853999799117,261,sp,56,1,
,,visual-haptic,3,1,0.04,0.75,0,6,squashed,0.8195778999943286,310,sp,56,1,
,,visual-haptic,0,1,0.04,1.25,1,3,stretched,10.343449300038628,279,sp,56,1,
,,visual-haptic,0,1,0.04,0.5,1,6,squashed,0.7772824000567198,280,sp,56,1,
,,visual-haptic,0,2,0.04,1.25,2,3,stretched,0.0873589999973774,227,sp,56,1,
,,visual-haptic,3,0,0.04,0.5,0,6,squashed,1.542263999930583,262,sp,56,1,
,,visual-haptic,1,2,0.04,0.75,3,3,stretched,1.6449690000154078,225,sp,56,1,
,,visual-haptic,3,1,0.04,1,2,3,stretched,2.074482799973339,279,sp,56,1,
,,visual-haptic,1,0,0.04,1,3,3,stretched,2.598974500084296,245,sp,56,1,
,,visual-haptic,1,1,0.04,0.75,2,6,squashed,0.672268999973312,318,sp,56,1,
,,visual-haptic,1,1,0.04,1,0,3,stretched,1.8734822999686003,318,sp,56,1,
,,visual-haptic,0,0,0.04,0.75,0,6,squashed,1.192568700062111,269,sp,56,1,
,,visual-haptic,3,1,0.04,1,0,3,stretched,4.5553338000318035,293,sp,56,1,
,,visual-haptic,1,2,0.04,0.75,0,6,squashed,1.5436932999873534,242,sp,56,1,
,,visual-haptic,0,2,0.04,0.5,3,6,squashed,1.376684800023213,233,sp,56,1,
,,visual-haptic,0,0,0.04,1.5,2,3,stretched,0.5461899000220001,243,sp,56,1,
,,visual-haptic,3,1,0.04,1.25,3,3,stretched,1.3040940000209957,275,sp,56,1,
,,visual-haptic,3,0,0.04,1.5,3,3,stretched,2.0576050999807194,245,sp,56,1,
,,visual-haptic,1,0,0.04,1,0,3,stretched,1.00674770004116,243,sp,56,1,
,,visual-haptic,1,1,0.04,1.5,3,3,stretched,0.5044152999762446,273,sp,56,1,
,,visual-haptic,0,1,0.04,1.25,2,6,squashed,1.1597219000104815,295,sp,56,1,
,,visual-haptic,3,0,0.04,1,1,3,stretched,1.1944497999502346,241,sp,56,1,
,,visual-haptic,3,0,0.04,0.75,1,6,squashed,1.3696933999890462,233,sp,56,1,
