thisRow.t,notes,phase,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-only,0.04,0.5,0,6,squashed,1.9990270999260247,233,sp,56,1,
,,visual-only,0.04,1.25,2,3,stretched,0.3849540998926386,234,sp,56,1,
,,visual-only,0.04,1.25,1,3,stretched,0.7726858999812976,255,sp,56,1,
,,visual-only,0.04,0.75,1,3,stretched,0.9031374000478536,231,sp,56,1,
,,visual-only,0.04,1,2,3,stretched,1.4391752999508753,232,sp,56,1,
,,visual-only,0.04,0.5,2,3,stretched,1.4885184000013396,228,sp,56,1,
,,visual-only,0.04,1.5,0,3,stretched,0.6508717000251636,251,sp,56,1,
,,visual-only,0.04,1.5,3,3,stretched,0.7596069999272004,242,sp,56,1,
,,visual-only,0.04,1.25,3,3,stretched,0.8701901999302208,234,sp,56,1,
,,visual-only,0.04,0.75,2,6,squashed,0.830895800027065,228,sp,56,1,
,,visual-only,0.04,1.5,1,6,squashed,2.0334333000937477,287,sp,56,1,
,,visual-only,0.04,1,3,6,squashed,0.841177299967967,233,sp,56,1,
,,visual-only,0.04,1,1,6,squashed,0.8215676000108942,229,sp,56,1,
,,visual-only,0.04,0.5,3,6,squashed,0.5174225999508053,233,sp,56,1,
,,visual-only,0.04,0.5,1,6,squashed,0.3504010000033304,218,sp,56,1,
,,visual-only,0.04,1,0,6,squashed,0.5247422999236733,244,sp,56,1,
,,visual-only,0.04,1.5,2,6,squashed,0.546062899986282,263,sp,56,1,
,,visual-only,0.04,0.75,3,6,squashed,0.23119020008016378,235,sp,56,1,
,,visual-only,0.04,0.75,0,6,squashed,0.602449300000444,239,sp,56,1,
,,visual-only,0.04,1.25,0,6,squashed,0.5648020000662655,244,sp,56,1,
